"Symbol","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded","date"
"CTRA","Energy","Oil & Gas Exploration & Production","Houston, Texas","2008-06-23",858470,"2021 (1989)",2023-02-07
"CCI","Real Estate","Specialized REITs","Houston, Texas","2012-03-14",1051470,"1994",2023-02-07
"CSX","Industrials","Railroads","Jacksonville, Florida","1967-09-30",277948,"1980",2023-02-07
"CMI","Industrials","Industrial Machinery","Columbus, Indiana","1965-03-31",26172,"1919",2023-02-07
"CVS","Health Care","Health Care Services","Woonsocket, Rhode Island","1957-03-04",64803,"1996",2023-02-07
"DHI","Consumer Discretionary","Homebuilding","Arlington, Texas","2005-06-22",882184,"1978",2023-02-07
"DHR","Health Care","Health Care Equipment","Washington, D.C.","",313616,"1969",2023-02-07
"DRI","Consumer Discretionary","Restaurants","Orlando, Florida","",940944,"1938",2023-02-07
"DVA","Health Care","Health Care Facilities","Denver, Colorado","2008-07-31",927066,"1979",2023-02-07
"DE","Industrials","Agricultural & Farm Machinery","Moline, Illinois","1957-03-04",315189,"1837",2023-02-07
"DAL","Industrials","Airlines","Atlanta, Georgia","2013-09-11",27904,"1929",2023-02-07
"XRAY","Health Care","Health Care Supplies","Charlotte, North Carolina","2008-11-14",818479,"2016 (1969)",2023-02-07
"DVN","Energy","Oil & Gas Exploration & Production","Oklahoma City, Oklahoma","2000-08-30",1090012,"1971",2023-02-07
"DXCM","Health Care","Health Care Equipment","San Diego, California","2020-05-12",1093557,"1999",2023-02-07
"FANG","Energy","Oil & Gas Exploration & Production","Midland, Texas","2018-12-03",1539838,"2007",2023-02-07
"DLR","Real Estate","Specialized REITs","Austin, Texas","2016-05-18",1297996,"2004",2023-02-07
"DFS","Financials","Consumer Finance","Riverwoods, Illinois","2007-07-02",1393612,"1985",2023-02-07
"DISH","Communication Services","Cable & Satellite","Meridian, Colorado","2017-03-13",1001082,"1980",2023-02-07
"DIS","Communication Services","Movies & Entertainment","Burbank, California","1976-06-30",1744489,"1923",2023-02-07
"DG","Consumer Discretionary","General Merchandise Stores","Goodlettsville, Tennessee","2012-12-03",29534,"1939",2023-02-07
"DLTR","Consumer Discretionary","General Merchandise Stores","Chesapeake, Virginia","2011-12-19",935703,"1986",2023-02-07
"D","Utilities","Electric Utilities","Richmond, Virginia","",715957,"1983",2023-02-07
"DPZ","Consumer Discretionary","Restaurants","Ann Arbor, Michigan","2020-05-12",1286681,"1960",2023-02-07
"DOV","Industrials","Industrial Machinery","Downers Grove, Illinois","1985-10-31",29905,"1955",2023-02-07
"DOW","Materials","Commodity Chemicals","Midland, Michigan","2019-04-01",1751788,"2019",2023-02-07
"DTE","Utilities","Multi-Utilities","Detroit, Michigan","1957-03-04",936340,"1995",2023-02-07
"DUK","Utilities","Electric Utilities","Charlotte, North Carolina","1976-06-30",1326160,"1904",2023-02-07
"DD","Materials","Specialty Chemicals","Wilmington, Delaware","2019-04-02",1666700,"2017",2023-02-07
"DXC","Information Technology","IT Consulting & Other Services","Tysons Corner, Virginia","2017-04-04",1688568,"2017",2023-02-07
"EMN","Materials","Diversified Chemicals","Kingsport, Tennessee","1994-01-01",915389,"1920",2023-02-07
"ETN","Industrials","Electrical Components & Equipment","Dublin, Ireland","",1551182,"1911",2023-02-07
"EBAY","Consumer Discretionary","Internet & Direct Marketing Retail","San Jose, California","2002-07-22",1065088,"1995",2023-02-07
"ECL","Materials","Specialty Chemicals","Saint Paul, Minnesota","1989-01-31",31462,"1923",2023-02-07
"EIX","Utilities","Electric Utilities","Rosemead, California","1957-03-04",827052,"1886",2023-02-07
"EW","Health Care","Health Care Equipment","Irvine, California","2011-04-01",1099800,"1958",2023-02-07
"EA","Communication Services","Interactive Home Entertainment","Redwood City, California","2002-07-22",712515,"1982",2023-02-07
"ELV","Health Care","Managed Health Care","Indianapolis, Indiana","2002-07-25",1156039,"2014 (1946)",2023-02-07
"LLY","Health Care","Pharmaceuticals","Indianapolis, Indiana","1970-12-31",59478,"1876",2023-02-07
"EMR","Industrials","Electrical Components & Equipment","Ferguson, Missouri","1965-03-31",32604,"1890",2023-02-07
"ENPH","Information Technology","Electronic Components","Fremont, California","2021-01-07",1463101,"2006",2023-02-07
"ETR","Utilities","Electric Utilities","New Orleans, Louisiana","1957-03-04",65984,"1913",2023-02-07
"EOG","Energy","Oil & Gas Exploration & Production","Houston, Texas","2000-11-02",821189,"1999",2023-02-07
"EPAM","Information Technology","IT Consulting & Other Services","Newtown, Pennsylvania","2021-12-14",1352010,"1993",2023-02-07
"EQT","Energy","Oil & Gas Exploration & Production","Pittsburgh, Pennsylvania","2022-10-03",33213,"1888",2023-02-07
"EFX","Industrials","Research & Consulting Services","Atlanta, Georgia","1997-06-19",33185,"1899",2023-02-07
"EQIX","Real Estate","Specialized REITs","Redwood City, California","2015-03-20",1101239,"1998",2023-02-07
"EQR","Real Estate","Residential REITs","Chicago, Illinois","2001-12-03",906107,"1969",2023-02-07
"ESS","Real Estate","Residential REITs","San Mateo, California","2014-04-02",920522,"1971",2023-02-07
"EL","Consumer Staples","Personal Products","New York City, New York","2006-01-05",1001250,"1946",2023-02-07
"ETSY","Consumer Discretionary","Internet & Direct Marketing Retail","New York City, New York","2020-09-21",1370637,"2005",2023-02-07
"RE","Financials","Reinsurance","Hamilton, Bermuda","2017-06-19",1095073,"1973",2023-02-07
"EVRG","Utilities","Electric Utilities","Kansas City, Missouri","2018-06-05",1711269,"1909",2023-02-07
"ES","Utilities","Multi-Utilities","Hartford, Connecticut","2009",72741,"1966",2023-02-07
"EXC","Utilities","Multi-Utilities","Chicago, Illinois","1957-03-04",1109357,"2000",2023-02-07
"EXPE","Consumer Discretionary","Internet & Direct Marketing Retail","Seattle, Washington","2007-10-02",1324424,"1996",2023-02-07
"EXPD","Industrials","Air Freight & Logistics","Seattle, Washington","2007-10-10",746515,"1979",2023-02-07
"EXR","Real Estate","Specialized REITs","Salt Lake City, Utah","2016-01-19",1289490,"1977",2023-02-07
"XOM","Energy","Integrated Oil & Gas","Irving, Texas","1957-03-04",34088,"1999",2023-02-07
"FFIV","Information Technology","Communications Equipment","Seattle, Washington","2010-12-20",1048695,"1996",2023-02-07
"FDS","Financials","Financial Exchanges & Data","Norwalk, Connecticut","2021-12-20",1013237,"1978",2023-02-07
"FAST","Industrials","Building Products","Winona, Minnesota","2008-09-15",815556,"1967",2023-02-07
"FRT","Real Estate","Retail REITs","Rockville, Maryland","2016-02-01",34903,"1962",2023-02-07
"FDX","Industrials","Air Freight & Logistics","Memphis, Tennessee","1980-12-31",1048911,"1971",2023-02-07
"FITB","Financials","Regional Banks","Cincinnati, Ohio","",35527,"1858",2023-02-07
"FRC","Financials","Regional Banks","San Francisco, California","2019-01-02",1132979,"1985",2023-02-07
"FSLR","Information Technology","Semiconductors","Tempe, Arizona","2022-12-19",1274494,"1999",2023-02-07
"FE","Utilities","Electric Utilities","Akron, Ohio","",1031296,"1997",2023-02-07
"FIS","Information Technology","Data Processing & Outsourced Services","Jacksonville, Florida","2006-11-10",1136893,"1968",2023-02-07
"FISV","Information Technology","Data Processing & Outsourced Services","Brookfield, Wisconsin","2001-04-02",798354,"1984",2023-02-07
"FLT","Information Technology","Data Processing & Outsourced Services","Atlanta, Georgia","2018-06-20",1175454,"2000",2023-02-07
"FMC","Materials","Fertilizers & Agricultural Chemicals","Philadelphia, Pennsylvania","2009-08-19",37785,"1883",2023-02-07
"F","Consumer Discretionary","Automobile Manufacturers","Dearborn, Michigan","1957-03-04",37996,"1903",2023-02-07
"FTNT","Information Technology","Systems Software","Sunnyvale, California","2018-10-11",1262039,"2000",2023-02-07
"FTV","Industrials","Industrial Machinery","Everett, Washington","2016-07-01",1659166,"2016",2023-02-07
"FOXA","Communication Services","Movies & Entertainment","New York City, New York","2013-07-01",1754301,"2019",2023-02-07
"FOX","Communication Services","Movies & Entertainment","New York City, New York","2015-09-18",1754301,"2019",2023-02-07
"BEN","Financials","Asset Management & Custody Banks","San Mateo, California","",38777,"1947",2023-02-07
"FCX","Materials","Copper","Phoenix, Arizona","",831259,"1912",2023-02-07
"GRMN","Consumer Discretionary","Consumer Electronics","Schaffhausen, Switzerland","2012-12-12",1121788,"1989",2023-02-07
"IT","Information Technology","IT Consulting & Other Services","Stamford, Connecticut","2017-04-05",749251,"1979",2023-02-07
"GEHC","Health Care","Health Care Technology","Chicago, Illinois","2023-01-04",1932393,"1994",2023-02-07
"GEN","Information Technology","Application Software","Tempe, Arizona","2003-03-25",849399,"1982",2023-02-07
"GNRC","Industrials","Electrical Components & Equipment","Waukesha, Wisconsin","2021-03-22",1474735,"1959",2023-02-07
"GD","Industrials","Aerospace & Defense","Falls Church, Virginia","1957-03-04",40533,"1899",2023-02-07
"GE","Industrials","Industrial Conglomerates","Boston, Massachusetts","",40545,"1892",2023-02-07
"GIS","Consumer Staples","Packaged Foods & Meats","Golden Valley, Minnesota","1969-03-31",40704,"1856",2023-02-07
"GM","Consumer Discretionary","Automobile Manufacturers","Detroit, Michigan","2013-06-06",1467858,"1908",2023-02-07
"GPC","Consumer Discretionary","Specialty Stores","Atlanta, Georgia","1973-12-31",40987,"1925",2023-02-07
"GILD","Health Care","Biotechnology","Foster City, California","2004-07-01",882095,"1987",2023-02-07
"GL","Financials","Life & Health Insurance","McKinney, Texas","1989-04-30",320335,"1900",2023-02-07
"GPN","Information Technology","Data Processing & Outsourced Services","Atlanta, Georgia","2016-04-25",1123360,"2000",2023-02-07
"GS","Financials","Investment Banking & Brokerage","New York City, New York","2002-07-22",886982,"1869",2023-02-07
"HAL","Energy","Oil & Gas Equipment & Services","Houston, Texas","1957-03-04",45012,"1919",2023-02-07
"HIG","Financials","Property & Casualty Insurance","Hartford, Connecticut","1957-03-04",874766,"1810",2023-02-07
"HAS","Consumer Discretionary","Leisure Products","Pawtucket, Rhode Island","1984-09-30",46080,"1923",2023-02-07
"HCA","Health Care","Health Care Facilities","Nashville, Tennessee","2015-01-27",860730,"1968",2023-02-07
"PEAK","Real Estate","Health Care REITs","Long Beach, California","2008-03-31",765880,"1985",2023-02-07
"HSIC","Health Care","Health Care Distributors","Melville, New York","2015-03-17",1000228,"1932",2023-02-07
"HSY","Consumer Staples","Packaged Foods & Meats","Hershey, Pennsylvania","1957-03-04",47111,"1894",2023-02-07
"HES","Energy","Integrated Oil & Gas","New York City, New York","1984-05-31",4447,"1919",2023-02-07
"HPE","Information Technology","Technology Hardware, Storage & Peripherals","Houston, Texas","2015-11-02",1645590,"2015",2023-02-07
"HLT","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia","2017-06-19",1585689,"1919",2023-02-07
"HOLX","Health Care","Health Care Equipment","Marlborough, Massachusetts","2016-03-30",859737,"1985",2023-02-07
"HD","Consumer Discretionary","Home Improvement Retail","Atlanta, Georgia","1988-03-31",354950,"1978",2023-02-07
"HON","Industrials","Industrial Conglomerates","Charlotte, North Carolina","1964-03-31",773840,"1906",2023-02-07
"HRL","Consumer Staples","Packaged Foods & Meats","Austin, Minnesota","2009-03-04",48465,"1891",2023-02-07
"HST","Real Estate","Hotel & Resort REITs","Bethesda, Maryland","2007-03-20",1070750,"1993",2023-02-07
"HWM","Industrials","Aerospace & Defense","Pittsburgh, Pennsylvania","1964-03-31",4281,"2016",2023-02-07
"HPQ","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto, California","1974-12-31",47217,"1939 (2015)",2023-02-07
"HUM","Health Care","Managed Health Care","Louisville, Kentucky","",49071,"1961",2023-02-07
"HBAN","Financials","Regional Banks","Columbus, Ohio; Detroit, Michigan","",49196,"1866",2023-02-07
"HII","Industrials","Aerospace & Defense","Newport News, Virginia","2018-01-03",1501585,"2011",2023-02-07
"IBM","Information Technology","IT Consulting & Other Services","Armonk, New York","1957-03-04",51143,"1911",2023-02-07
"IEX","Industrials","Industrial Machinery","Lake Forest, Illinois","2019-08-09",832101,"1988",2023-02-07
"IDXX","Health Care","Health Care Equipment","Westbrook, Maine","2017-01-05",874716,"1983",2023-02-07
"ITW","Industrials","Industrial Machinery","Glenview, Illinois","1986-02-28",49826,"1912",2023-02-07
"ILMN","Health Care","Life Sciences Tools & Services","San Diego, California","2015-11-19",1110803,"1998",2023-02-07
"INCY","Health Care","Biotechnology","Wilmington, Delaware","2017-02-28",879169,"1991",2023-02-07
"IR","Industrials","Industrial Machinery","Davidson, North Carolina","2020-03-03",1699150,"1859",2023-02-07
"INTC","Information Technology","Semiconductors","Santa Clara, California","1976-12-31",50863,"1968",2023-02-07
"ICE","Financials","Financial Exchanges & Data","Atlanta, Georgia","2007-09-26",1571949,"2000",2023-02-07
"IP","Materials","Paper Packaging","Memphis, Tennessee","1957-03-04",51434,"1898",2023-02-07
"IPG","Communication Services","Advertising","New York City, New York","1992-10-01",51644,"1961 (1930)",2023-02-07
"IFF","Materials","Specialty Chemicals","New York City, New York","1976-03-31",51253,"1958 (1889)",2023-02-07
"INTU","Information Technology","Application Software","Mountain View, California","2000-12-05",896878,"1983",2023-02-07
"ISRG","Health Care","Health Care Equipment","Sunnyvale, California","2008-06-02",1035267,"1995",2023-02-07
"IVZ","Financials","Asset Management & Custody Banks","Atlanta, Georgia","2008-08-21",914208,"1935",2023-02-07
"INVH","Real Estate","Residential REITs","Dallas, Texas","2022-09-19",1687229,"2012",2023-02-07
"IQV","Health Care","Life Sciences Tools & Services","Durham, North Carolina","2017-08-29",1478242,"1982",2023-02-07
"IRM","Real Estate","Specialized REITs","Boston, Massachusetts","2009-01-06",1020569,"1951",2023-02-07
"JBHT","Industrials","Trucking","Lowell, Arkansas","2015-07-01",728535,"1961",2023-02-07
"JKHY","Information Technology","Data Processing & Outsourced Services","Monett, Missouri","2018-11-13",779152,"1976",2023-02-07
