"Symbol","Security","SEC filings","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded","date"
"AMZN","Amazon","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Seattle, Washington","2005-11-18",1018724,"1994",2023-01-13
"AMCR","Amcor","reports","Materials","Paper Packaging","Warmley, Bristol, United Kingdom","2019-06-07",1748790,"2019 (1860)",2023-01-13
"AMD","AMD","reports","Information Technology","Semiconductors","Santa Clara, California","2017-03-20",2488,"1969",2023-01-13
"AEE","Ameren","reports","Utilities","Multi-Utilities","St. Louis, Missouri","1991-09-19",1002910,"1902",2023-01-13
"AAL","American Airlines Group","reports","Industrials","Airlines","Fort Worth, Texas","2015-03-23",6201,"1934",2023-01-13
"AEP","American Electric Power","reports","Utilities","Electric Utilities","Columbus, Ohio","1957-03-04",4904,"1906",2023-01-13
"AXP","American Express","reports","Financials","Consumer Finance","New York City, New York","1976-06-30",4962,"1850",2023-01-13
"AIG","American International Group","reports","Financials","Property & Casualty Insurance","New York City, New York","1980-03-31",5272,"1919",2023-01-13
"AMT","American Tower","reports","Real Estate","Specialized REITs","Boston, Massachusetts","2007-11-19",1053507,"1995",2023-01-13
"AWK","American Water Works","reports","Utilities","Water Utilities","Camden, New Jersey","2016-03-04",1410636,"1886",2023-01-13
"AMP","Ameriprise Financial","reports","Financials","Asset Management & Custody Banks","Minneapolis, Minnesota","2005-10-03",820027,"1894",2023-01-13
"ABC","AmerisourceBergen","reports","Health Care","Health Care Distributors","Conshohocken, Pennsylvania","2001-08-30",1140859,"1985",2023-01-13
"AME","Ametek","reports","Industrials","Electrical Components & Equipment","Berwyn, Pennsylvania","2013-09-23",1037868,"1930",2023-01-13
"AMGN","Amgen","reports","Health Care","Biotechnology","Thousand Oaks, California","1992-01-02",318154,"1980",2023-01-13
"APH","Amphenol","reports","Information Technology","Electronic Components","Wallingford, Connecticut","2008-09-30",820313,"1932",2023-01-13
"ADI","Analog Devices","reports","Information Technology","Semiconductors","Wilmington, Massachusetts","1999-10-12",6281,"1965",2023-01-13
"ANSS","Ansys","reports","Information Technology","Application Software","Canonsburg, Pennsylvania","2017-06-19",1013462,"1969",2023-01-13
"AON","Aon","reports","Financials","Insurance Brokers","London, UK","1996-04-23",315293,"1982 (1919)",2023-01-13
"APA","APA Corporation","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","1997-07-28",1841666,"1954",2023-01-13
"AAPL","Apple Inc.","reports","Information Technology","Technology Hardware, Storage & Peripherals","Cupertino, California","1982-11-30",320193,"1977",2023-01-13
"AMAT","Applied Materials","reports","Information Technology","Semiconductor Equipment","Santa Clara, California","1995-03-16",6951,"1967",2023-01-13
"APTV","Aptiv","reports","Consumer Discretionary","Auto Parts & Equipment","Dublin, Ireland","2012-12-24",1521332,"1994",2023-01-13
"ACGL","Arch Capital Group","reports","Financials","Reinsurance","Hamilton, Bermuda","2022-11-01",947484,"1995",2023-01-13
"ANET","Arista Networks","reports","Information Technology","Communications Equipment","Santa Clara, California","2018-08-28",1596532,"2004",2023-01-13
"AJG","Arthur J. Gallagher & Co.","reports","Financials","Insurance Brokers","Rolling Meadows, Illinois","2016-05-31",354190,"1927",2023-01-13
"AIZ","Assurant","reports","Financials","Multi-line Insurance","New York City, New York","2007-04-10",1267238,"1892",2023-01-13
"T","AT&T","reports","Communication Services","Integrated Telecommunication Services","Dallas, Texas","1983-11-30 (1957-03-04)",732717,"1983 (1885)",2023-01-13
"ATO","Atmos Energy","reports","Utilities","Gas Utilities","Dallas, Texas","2019-02-15",731802,"1906",2023-01-13
"ADSK","Autodesk","reports","Information Technology","Application Software","San Francisco, California","1989-12-01",769397,"1982",2023-01-13
"AZO","AutoZone","reports","Consumer Discretionary","Specialty Stores","Memphis, Tennessee","1997-01-02",866787,"1979",2023-01-13
"AVB","AvalonBay Communities","reports","Real Estate","Residential REITs","Arlington, Virginia","2007-01-10",915912,"1978",2023-01-13
"AVY","Avery Dennison","reports","Materials","Paper Packaging","Glendale, California","1987-12-31",8818,"1990",2023-01-13
"BKR","Baker Hughes","reports","Energy","Oil & Gas Equipment & Services","Houston, Texas","2017-07-07",1701605,"2017",2023-01-13
"BALL","Ball Corporation","reports","Materials","Metal & Glass Containers","Broomfield, Colorado","1984-10-31",9389,"1880",2023-01-13
"BAC","Bank of America","reports","Financials","Diversified Banks","Charlotte, North Carolina","1976-06-30",70858,"1998 (1923 / 1874)",2023-01-13
"BBWI","Bath & Body Works, Inc.","reports","Consumer Discretionary","Specialty Stores","Columbus, Ohio","1983-09-30",701985,"1963",2023-01-13
"BAX","Baxter International","reports","Health Care","Health Care Equipment","Deerfield, Illinois","1972-09-30",10456,"1931",2023-01-13
"BDX","Becton Dickinson","reports","Health Care","Health Care Equipment","Franklin Lakes, New Jersey","1972-09-30",10795,"1897",2023-01-13
"WRB","Berkley","reports","Financials","Property & Casualty Insurance","Greenwich, Connecticut","2019-12-05",11544,"1967",2023-01-13
"BRK.B","Berkshire Hathaway","reports","Financials","Multi-Sector Holdings","Omaha, Nebraska","2010-02-16",1067983,"1839",2023-01-13
"BBY","Best Buy","reports","Consumer Discretionary","Computer & Electronics Retail","Richfield, Minnesota","1999-06-29",764478,"1966",2023-01-13
"BIO","Bio-Rad","reports","Health Care","Life Sciences Tools & Services","Hercules, California","2020-06-22",12208,"1952",2023-01-13
"TECH","Bio-Techne","reports","Health Care","Life Sciences Tools & Services","Minneapolis, Minnesota","2021-08-30",842023,"1976",2023-01-13
"BIIB","Biogen","reports","Health Care","Biotechnology","Cambridge, Massachusetts","2003-11-13",875045,"1978",2023-01-13
"BLK","BlackRock","reports","Financials","Asset Management & Custody Banks","New York City, New York","2011-04-04",1364742,"1988",2023-01-13
"BK","BNY Mellon","reports","Financials","Asset Management & Custody Banks","New York City, New York","1995-03-31",1390777,"1784",2023-01-13
"BA","Boeing","reports","Industrials","Aerospace & Defense","Chicago, Illinois","1957-03-04",12927,"1916",2023-01-13
"BKNG","Booking Holdings","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Norwalk, Connecticut","2009-11-06",1075531,"1996",2023-01-13
"BWA","BorgWarner","reports","Consumer Discretionary","Auto Parts & Equipment","Auburn Hills, Michigan","2011-12-19",908255,"1880",2023-01-13
"BXP","Boston Properties","reports","Real Estate","Office REITs","Boston, Massachusetts","2006-04-03",1037540,"1970",2023-01-13
"BSX","Boston Scientific","reports","Health Care","Health Care Equipment","Marlborough, Massachusetts","1995-02-24",885725,"1979",2023-01-13
"BMY","Bristol Myers Squibb","reports","Health Care","Pharmaceuticals","New York City, New York","1957-03-04",14272,"1989 (1887)",2023-01-13
"AVGO","Broadcom Inc.","reports","Information Technology","Semiconductors","San Jose, California","2014-05-08",1730168,"1961",2023-01-13
"BR","Broadridge Financial Solutions","reports","Information Technology","Data Processing & Outsourced Services","Lake Success, New York","2018-06-18",1383312,"1962",2023-01-13
"BRO","Brown & Brown","reports","Financials","Insurance Brokers","Daytona Beach, Florida","2021-09-20",79282,"1939",2023-01-13
"BF.B","Brown–Forman","reports","Consumer Staples","Distillers & Vintners","Louisville, Kentucky","1982-10-31",14693,"1870",2023-01-13
"CHRW","C.H. Robinson","reports","Industrials","Air Freight & Logistics","Eden Prairie, Minnesota","2007-03-02",1043277,"1905",2023-01-13
"CDNS","Cadence Design Systems","reports","Information Technology","Application Software","San Jose, California","2017-09-18",813672,"1988",2023-01-13
"CZR","Caesars Entertainment","reports","Consumer Discretionary","Casinos & Gaming","Reno, Nevada","2021-03-22",1590895,"1973",2023-01-13
"CPT","Camden Property Trust","reports","Real Estate","Residential REITs","Houston, Texas","2022-04-04",906345,"1981",2023-01-13
"CPB","Campbell Soup Company","reports","Consumer Staples","Packaged Foods & Meats","Camden, New Jersey","1957-03-04",16732,"1869",2023-01-13
"COF","Capital One","reports","Financials","Consumer Finance","Tysons Corner, Virginia","1998-07-01",927628,"1994",2023-01-13
"CAH","Cardinal Health","reports","Health Care","Health Care Distributors","Dublin, Ohio","1997-05-27",721371,"1971",2023-01-13
"KMX","CarMax","reports","Consumer Discretionary","Automotive Retail","Richmond, Virginia","2010-06-28",1170010,"1993",2023-01-13
"CCL","Carnival","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","1998-12-22",815097,"1972",2023-01-13
"CARR","Carrier Global","reports","Industrials","Building Products","Palm Beach Gardens, Florida","2020-04-03",1783180,"2020 (1915)",2023-01-13
"CTLT","Catalent","reports","Health Care","Pharmaceuticals","Somerset, New Jersey","2020-09-21",1596783,"2007",2023-01-13
"CAT","Caterpillar Inc.","reports","Industrials","Construction Machinery & Heavy Trucks","Irving, Texas","1957-03-04",18230,"1925",2023-01-13
"CBOE","Cboe Global Markets","reports","Financials","Financial Exchanges & Data","Chicago, Illinois","2017-03-01",1374310,"1973",2023-01-13
"CBRE","CBRE Group","reports","Real Estate","Real Estate Services","Dallas, Texas","2006-11-10",1138118,"1906",2023-01-13
"CDW","CDW","reports","Information Technology","Technology Distributors","Lincolnshire, Illinois","2019-09-23",1402057,"1984",2023-01-13
"CE","Celanese","reports","Materials","Specialty Chemicals","Irving, Texas","2018-12-24",1306830,"1918",2023-01-13
"CNC","Centene Corporation","reports","Health Care","Managed Health Care","St. Louis, Missouri","2016-03-30",1071739,"1984",2023-01-13
"CNP","CenterPoint Energy","reports","Utilities","Multi-Utilities","Houston, Texas","1985-07-31",1130310,"1882",2023-01-13
"CDAY","Ceridian","reports","Information Technology","Application Software","Minneapolis, Minnesota","2021-09-20",1725057,"1992",2023-01-13
"CF","CF Industries","reports","Materials","Fertilizers & Agricultural Chemicals","Deerfield, Illinois","2008-08-27",1324404,"1946",2023-01-13
"CRL","Charles River Laboratories","reports","Health Care","Life Sciences Tools & Services","Wilmington, Massachusetts","2021-05-14",1100682,"1947",2023-01-13
"SCHW","Charles Schwab Corporation","reports","Financials","Investment Banking & Brokerage","Westlake, Texas","1997-06-02",316709,"1971",2023-01-13
"CHTR","Charter Communications","reports","Communication Services","Cable & Satellite","Stamford, Connecticut","2016-09-08",1091667,"1993",2023-01-13
"CVX","Chevron Corporation","reports","Energy","Integrated Oil & Gas","San Ramon, California","1957-03-04",93410,"1879",2023-01-13
"CMG","Chipotle Mexican Grill","reports","Consumer Discretionary","Restaurants","Newport Beach, California","2011-04-28",1058090,"1993",2023-01-13
"CB","Chubb Limited","reports","Financials","Property & Casualty Insurance","Zurich, Switzerland","2010-07-15",896159,"1985",2023-01-13
"CHD","Church & Dwight","reports","Consumer Staples","Household Products","Ewing, New Jersey","2015-12-29",313927,"1847",2023-01-13
"CI","Cigna","reports","Health Care","Managed Health Care","Bloomfield, Connecticut","1976-06-30",1739940,"1982",2023-01-13
"CINF","Cincinnati Financial","reports","Financials","Property & Casualty Insurance","Fairfield, Ohio","1997-12-18",20286,"1950",2023-01-13
"CTAS","Cintas","reports","Industrials","Diversified Support Services","Mason, Ohio","2001-03-01",723254,"1929",2023-01-13
"CSCO","Cisco","reports","Information Technology","Communications Equipment","San Jose, California","1993-12-01",858877,"1984",2023-01-13
"C","Citigroup","reports","Financials","Diversified Banks","New York City, New York","1988-05-31",831001,"1998",2023-01-13
"CFG","Citizens Financial Group","reports","Financials","Regional Banks","Providence, Rhode Island","2016-01-29",759944,"1828",2023-01-13
"CLX","Clorox","reports","Consumer Staples","Household Products","Oakland, California","1969-03-31",21076,"1913",2023-01-13
"CME","CME Group","reports","Financials","Financial Exchanges & Data","Chicago, Illinois","2006-08-11",1156375,"1848",2023-01-13
"CMS","CMS Energy","reports","Utilities","Multi-Utilities","Jackson, Michigan","1999-05-03",811156,"1886",2023-01-13
"KO","The Coca-Cola Company","reports","Consumer Staples","Soft Drinks","Atlanta, Georgia","1957-03-04",21344,"1886",2023-01-13
"CTSH","Cognizant","reports","Information Technology","IT Consulting & Other Services","Teaneck, New Jersey","2006-11-17",1058290,"1994",2023-01-13
"CL","Colgate-Palmolive","reports","Consumer Staples","Household Products","New York City, New York","1957-03-04",21665,"1806",2023-01-13
"CMCSA","Comcast","reports","Communication Services","Cable & Satellite","Philadelphia, Pennsylvania","2002-11-19",1166691,"1963",2023-01-13
"CMA","Comerica","reports","Financials","Diversified Banks","Dallas, Texas","1995-12-01",28412,"1849",2023-01-13
"CAG","Conagra Brands","reports","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois","1983-08-31",23217,"1919",2023-01-13
"COP","ConocoPhillips","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","1957-03-04",1163165,"2002",2023-01-13
"ED","Consolidated Edison","reports","Utilities","Electric Utilities","New York City, New York","",1047862,"1823",2023-01-13
"STZ","Constellation Brands","reports","Consumer Staples","Distillers & Vintners","Victor, New York","2005-07-01",16918,"1945",2023-01-13
"CEG","Constellation Energy","reports","Utilities","Multi-Utilities","Baltimore, Maryland","2022-02-02",1868275,"1999",2023-01-13
"COO","CooperCompanies","reports","Health Care","Health Care Supplies","San Ramon, California","2016-09-23",711404,"1958",2023-01-13
"CPRT","Copart","reports","Industrials","Diversified Support Services","Dallas, Texas","2018-07-02",900075,"1982",2023-01-13
"GLW","Corning Inc.","reports","Information Technology","Electronic Components","Corning, New York","",24741,"1851",2023-01-13
"CTVA","Corteva","reports","Materials","Fertilizers & Agricultural Chemicals","Indianapolis, Indiana","2019-06-03",1755672,"2019",2023-01-13
"CSGP","CoStar Group","reports","Industrials","Research & Consulting Services","Washington, D.C.","2022-09-19",1057352,"1987",2023-01-13
"COST","Costco","reports","Consumer Staples","Hypermarkets & Super Centers","Issaquah, Washington","1993-10-01",909832,"1976",2023-01-13
"CTRA","Coterra","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","2008-06-23",858470,"2021 (1989)",2023-01-13
"CCI","Crown Castle","reports","Real Estate","Specialized REITs","Houston, Texas","2012-03-14",1051470,"1994",2023-01-13
"CSX","CSX","reports","Industrials","Railroads","Jacksonville, Florida","1967-09-30",277948,"1980",2023-01-13
"CMI","Cummins","reports","Industrials","Industrial Machinery","Columbus, Indiana","1965-03-31",26172,"1919",2023-01-13
"CVS","CVS Health","reports","Health Care","Health Care Services","Woonsocket, Rhode Island","1957-03-04",64803,"1996",2023-01-13
"DHI","D.R. Horton","reports","Consumer Discretionary","Homebuilding","Arlington, Texas","2005-06-22",882184,"1978",2023-01-13
"DHR","Danaher Corporation","reports","Health Care","Health Care Equipment","Washington, D.C.","",313616,"1969",2023-01-13
"DRI","Darden Restaurants","reports","Consumer Discretionary","Restaurants","Orlando, Florida","",940944,"1938",2023-01-13
"DVA","DaVita Inc.","reports","Health Care","Health Care Facilities","Denver, Colorado","2008-07-31",927066,"1979",2023-01-13
"DE","John Deere","reports","Industrials","Agricultural & Farm Machinery","Moline, Illinois","1957-03-04",315189,"1837",2023-01-13
"DAL","Delta Air Lines","reports","Industrials","Airlines","Atlanta, Georgia","2013-09-11",27904,"1929",2023-01-13
"XRAY","Dentsply Sirona","reports","Health Care","Health Care Supplies","Charlotte, North Carolina","2008-11-14",818479,"2016 (1969)",2023-01-13
"DVN","Devon Energy","reports","Energy","Oil & Gas Exploration & Production","Oklahoma City, Oklahoma","2000-08-30",1090012,"1971",2023-01-13
"DXCM","Dexcom","reports","Health Care","Health Care Equipment","San Diego, California","2020-05-12",1093557,"1999",2023-01-13
"FANG","Diamondback Energy","reports","Energy","Oil & Gas Exploration & Production","Midland, Texas","2018-12-03",1539838,"2007",2023-01-13
"DLR","Digital Realty","reports","Real Estate","Specialized REITs","Austin, Texas","2016-05-18",1297996,"2004",2023-01-13
"DFS","Discover Financial","reports","Financials","Consumer Finance","Riverwoods, Illinois","2007-07-02",1393612,"1985",2023-01-13
"DISH","Dish Network","reports","Communication Services","Cable & Satellite","Meridian, Colorado","2017-03-13",1001082,"1980",2023-01-13
"DIS","Disney","reports","Communication Services","Movies & Entertainment","Burbank, California","1976-06-30",1744489,"1923",2023-01-13
"DG","Dollar General","reports","Consumer Discretionary","General Merchandise Stores","Goodlettsville, Tennessee","2012-12-03",29534,"1939",2023-01-13
"DLTR","Dollar Tree","reports","Consumer Discretionary","General Merchandise Stores","Chesapeake, Virginia","2011-12-19",935703,"1986",2023-01-13
"D","Dominion Energy","reports","Utilities","Electric Utilities","Richmond, Virginia","",715957,"1983",2023-01-13
"DPZ","Domino's","reports","Consumer Discretionary","Restaurants","Ann Arbor, Michigan","2020-05-12",1286681,"1960",2023-01-13
"DOV","Dover Corporation","reports","Industrials","Industrial Machinery","Downers Grove, Illinois","1985-10-31",29905,"1955",2023-01-13
