"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","date"
"ANET","Arista Networks","Information Technology","Communications Equipment","Santa Clara, California","2018-08-28","0001596532","2004",,,,,,,,,,2024-02-05
"AJG","Arthur J. Gallagher & Co.","Financials","Insurance Brokers","Rolling Meadows, Illinois","2016-05-31","0000354190","1927",,,,,,,,,,2024-02-05
"AIZ","Assurant","Financials","Multi-line Insurance","Atlanta, Georgia","2007-04-10","0001267238","1892",,,,,,,,,,2024-02-05
"T","AT&T","Communication Services","Integrated Telecommunication Services","Dallas, Texas","1983-11-30","0000732717","1983 (1885)",,,,,,,,,,2024-02-05
"ATO","Atmos Energy","Utilities","Gas Utilities","Dallas, Texas","2019-02-15","0000731802","1906",,,,,,,,,,2024-02-05
"ADSK","Autodesk","Information Technology","Application Software","San Francisco, California","1989-12-01","0000769397","1982",,,,,,,,,,2024-02-05
"ADP","Automated Data Processing","Industrials","Human Resource & Employment Services","Roseland, New Jersey","1981-03-31","0000008670","1949",,,,,,,,,,2024-02-05
"AZO","AutoZone","Consumer Discretionary","Automotive Retail","Memphis, Tennessee","1997-01-02","0000866787","1979",,,,,,,,,,2024-02-05
"AVB","AvalonBay Communities","Real Estate","Multi-Family Residential REITs","Arlington, Virginia","2007-01-10","0000915912","1978",,,,,,,,,,2024-02-05
"AVY","Avery Dennison","Materials","Paper & Plastic Packaging Products & Materials","Mentor, Ohio","1987-12-31","0000008818","1990",,,,,,,,,,2024-02-05
"AXON","Axon Enterprise","Industrials","Aerospace & Defense","Scottsdale, Arizona","2023-05-04","0001069183","1993",,,,,,,,,,2024-02-05
"BKR","Baker Hughes","Energy","Oil & Gas Equipment & Services","Houston, Texas","2017-07-07","0001701605","2017",,,,,,,,,,2024-02-05
"BALL","Ball Corporation","Materials","Metal, Glass & Plastic Containers","Broomfield, Colorado","1984-10-31","0000009389","1880",,,,,,,,,,2024-02-05
"BAC","Bank of America","Financials","Diversified Banks","Charlotte, North Carolina","1976-06-30","0000070858","1998 (1923 / 1874)",,,,,,,,,,2024-02-05
"BK","Bank of New York Mellon","Financials","Asset Management & Custody Banks","New York City, New York","1995-03-31","0001390777","1784",,,,,,,,,,2024-02-05
"BBWI","Bath & Body Works, Inc.","Consumer Discretionary","Other Specialty Retail","Columbus, Ohio","1983-09-30","0000701985","1963",,,,,,,,,,2024-02-05
"BAX","Baxter International","Health Care","Health Care Equipment","Deerfield, Illinois","1972-09-30","0000010456","1931",,,,,,,,,,2024-02-05
"BDX","Becton Dickinson","Health Care","Health Care Equipment","Franklin Lakes, New Jersey","1972-09-30","0000010795","1897",,,,,,,,,,2024-02-05
"BRK.B","Berkshire Hathaway","Financials","Multi-Sector Holdings","Omaha, Nebraska","2010-02-16","0001067983","1839",,,,,,,,,,2024-02-05
"BBY","Best Buy","Consumer Discretionary","Computer & Electronics Retail","Richfield, Minnesota","1999-06-29","0000764478","1966",,,,,,,,,,2024-02-05
"BIO","Bio-Rad","Health Care","Life Sciences Tools & Services","Hercules, California","2020-06-22","0000012208","1952",,,,,,,,,,2024-02-05
"TECH","Bio-Techne","Health Care","Life Sciences Tools & Services","Minneapolis, Minnesota","2021-08-30","0000842023","1976",,,,,,,,,,2024-02-05
"BIIB","Biogen","Health Care","Biotechnology","Cambridge, Massachusetts","2003-11-13","0000875045","1978",,,,,,,,,,2024-02-05
