"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"MSFT","MICROSOFT CORP","594918104","2588173",0.07139830918175157,"-",87247468,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06366718593311475,"-",171619522,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.03980761063992686,"-",28995322,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03662095629878182,"-",106753760,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.024813967113053774,"-",26056010,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.020150658402337422,"-",69471617,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.01778576333388998,"-",21358417,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.017112811553362844,"-",58469201,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.014207567223812112,"-",9360924,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.012869190617362818,"-",5152676,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.012860993043132131,"-",32451718,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.01249207217500682,"-",33937620,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.011531925037457608,"-",10857798,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.010537546271252786,"-",18712061,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.010033050137004586,"-",47027266,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.009125111237779258,"-",28261884,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.009080780277745426,"-",9721845,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.009030914203487454,"-",27670213,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.008699027553498329,"-",11740857,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.007755595860351129,"-",29749779,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.0076471456567009655,"-",5197980,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.007386224576059296,"-",20726346,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.006590679524253229,"-",11423157,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.0065189432427986155,"-",20611041,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.0063408887275487056,"-",18968119,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.00599486901917896,"-",5138606,"USD"
"WMT","WALMART INC","931142103","2936921",0.005919279177188555,"-",16747665,"USD"
"ADBE","ADOBE INC","00724F101","2008154",0.005857141764704917,"-",5345267,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.005692369521743309,"-",45681838,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.0055450734260427265,"-",16141472,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.005542671206487946,"-",80830387,"USD"
"ACN","ACCENTURE PLC CL A","G1151C101","B4BNMY3",0.005410949500900853,"-",7368177,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.00510195400141915,"-",4535388,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.005092605363651799,"-",8515516,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.005090463384548788,"-",5692769,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.0048867551663034576,"-",20375226,"USD"
"DIS","WALT DISNEY CO/THE","254687106","2270726",0.0047067588569134336,"-",21483872,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.00469103432807777,"-",47554420,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004568481093791419,"-",42635985,"USD"
"INTC","INTEL CORP","458140100","2463247",0.0043780351293381025,"-",49496556,"USD"
"INTU","INTUIT INC","461202103","2459020",0.004274029031864281,"-",3290928,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.004127593731504161,"-",49356113,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.004105092941674389,"-",18652699,"USD"
"QCOM","QUALCOMM INC","747525103","2714923",0.004041614289939332,"-",13066770,"USD"
"CMCSA","COMCAST CORP CLASS A","20030N101","2044545",0.004014569301451769,"-",47144219,"USD"
"DHR","DANAHER CORP","235851102","2250870",0.003938468987805973,"-",7722262,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.003914717041958088,"-",10706249,"USD"
"GE","GENERAL ELECTRIC CO","369604301","BL59CR9",0.0038757510389299294,"-",12777664,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.0038647508752186668,"-",5989023,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.0038034442303310568,"-",9820998,"USD"
"UBER","UBER TECHNOLOGIES INC","90353T100","BK6N347",0.003757731994053225,"-",24159657,"USD"
"PFE","PFIZER INC","717081103","2684703",0.0037321984020355446,"-",66288983,"USD"
"UNP","UNION PACIFIC CORP","907818108","2914734",0.0036597714824589326,"-",7156682,"USD"
"NOW","SERVICENOW INC","81762P102","B80NXX8",0.003648761309499525,"-",2397531,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.0036241685868074664,"-",6283500,"USD"
"TXN","TEXAS INSTRUMENTS INC","882508104","2885409",0.0035597690842430773,"-",10662305,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.0033587133167561497,"-",18225267,"USD"
"SPGI","S+P GLOBAL INC","78409V104","BYV2325",0.003284174445820961,"-",3803710,"USD"
"COP","CONOCOPHILLIPS","20825C104","2685717",0.003201568120880969,"-",13940215,"USD"
"ISRG","INTUITIVE SURGICAL INC","46120E602","2871301",0.003196793709515844,"-",4131939,"USD"
"HON","HONEYWELL INTERNATIONAL INC","438516106","2020459",0.0031423033626149215,"-",7739725,"USD"
"LOW","LOWE S COS INC","548661107","2536763",0.0031403715777229527,"-",6775348,"USD"
"BKNG","BOOKING HOLDINGS INC","09857L108","BDRXDB4",0.003118901740452108,"-",409717,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.003078384303961488,"-",16881204,"USD"
"NKE","NIKE INC  CL B","654106103","2640147",0.0030780740172689958,"-",14370107,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.0030246146229269996,"-",3828443,"USD"
"PLD","PROLOGIS INC","74340W103","B44WZD7",0.002944840915212019,"-",10847428,"USD"
"T","AT+T INC","00206R102","2831811",0.0029036128221031103,"-",83941204,"USD"
"AXP","AMERICAN EXPRESS CO","025816109","2026082",0.0029004999459300413,"-",6759308,"USD"
"ELV","ELEVANCE HEALTH INC","036752103","BSPHGL4",0.002858891501391626,"-",2758297,"USD"
"LRCX","LAM RESEARCH CORP","512807108","2502247",0.0028393934860053292,"-",1547168,"USD"
"SYK","STRYKER CORP","863667101","2853688",0.002807764261867395,"-",3970237,"USD"
"NEE","NEXTERA ENERGY INC","65339F101","2328915",0.0027985957905666517,"-",24087370,"USD"
"BA","BOEING CO/THE","097023105","2108601",0.0027330752522100317,"-",6663630,"USD"
"MDT","MEDTRONIC PLC","G5960L103","BTN1Y11",0.0027302526442331654,"-",15620509,"USD"
"BLK","BLACKROCK INC","09247X101","2494504",0.0026906360400755884,"-",1641730,"USD"
"TJX","TJX COMPANIES INC","872540109","2989301",0.0026830490299817418,"-",13431811,"USD"
"PGR","PROGRESSIVE CORP","743315103","2705024",0.0026588566772154797,"-",6868409,"USD"
"ETN","EATON CORP PLC","G29183103","B8KQN82",0.00264456347086454,"-",4689310,"USD"
"SBUX","STARBUCKS CORP","855244109","2842255",0.0025935863700624825,"-",13414375,"USD"
"VRTX","VERTEX PHARMACEUTICALS INC","92532F100","2931034",0.002583106687254756,"-",3025250,"USD"
"MS","MORGAN STANLEY","617446448","2262314",0.002580103912811281,"-",14837456,"USD"
"UPS","UNITED PARCEL SERVICE CL B","911312106","2517382",0.0025616868962246354,"-",8490985,"USD"
"C","CITIGROUP INC","172967424","2297907",0.0025296673114090494,"-",22469200,"USD"
"ADP","AUTOMATIC DATA PROCESSING","053015103","2065308",0.0024948751648573215,"-",4828787,"USD"
"BMY","BRISTOL MYERS SQUIBB CO","110122108","2126335",0.0024745964281157216,"-",23888398,"USD"
"CB","CHUBB LTD","H1467J104","B3BQMF6",0.002455628902881106,"-",4789793,"USD"
"REGN","REGENERON PHARMACEUTICALS","75886F107","2730190",0.0024319770495146694,"-",1254368,"USD"
"CI","THE CIGNA GROUP","125523100","BHJ0775",0.0024003878623693148,"-",3435511,"USD"
