"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07821481942454557,"-",287606891,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06712458222920285,"-",174925474,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.0669823088966731,"-",87615725,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.03744804297504571,"-",114394188,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.028664904234395345,"-",55439290,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.02756062495441732,"-",25565291,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.02602000886579733,"-",68564226,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.020945064627177483,"-",33075173,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.020935707427211635,"-",55041862,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.01552924098553741,"-",21613582,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.01421716802188284,"-",32410461,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.01129313281379193,"-",9370303,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.010154537150143845,"-",20020980,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.008465313163985239,"-",50246385,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.008149083698188482,"-",9729191,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.008079932194816146,"-",19531916,"USD"
"WMT","WALMART INC","931142103","2936921",0.008019040565187647,"-",51730951,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.008004555859057145,"-",5008137,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.007890603518748113,"-",28383967,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.0072254941442034095,"-",26803734,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.0071134272098576454,"-",5226702,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.007062401540534288,"-",19124899,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.006930492952956039,"-",20819879,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.006620218975836907,"-",11726020,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.00616427993059272,"-",80310797,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.006146343634709358,"-",27606133,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.005649224929061102,"-",10673604,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.0055447095942613355,"-",12497438,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005156425698450385,"-",22702860,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.004927952403335461,"-",10977614,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.004812593490323673,"-",46668104,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004762934490931362,"-",37752004,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.004645909637200708,"-",45646273,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.004221573587150342,"-",18343955,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.004217134403797674,"-",13187517,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.0042136030085013956,"-",5520856,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.00419166645975417,"-",11265911,"USD"
