"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"AAPL","Apple Inc.","03783310","2046251",0.06653776948013312,"Information Technology",162376820,"USD"
"MSFT","Microsoft Corporation","59491810","2588173",0.056563506193181436,"Information Technology",80945816,"USD"
"AMZN","Amazon.com Inc.","02313510","2000019",0.025328941519705474,"Consumer Discretionary",96375640,"USD"
"NVDA","NVIDIA Corporation","67066G10","2379504",0.0175690655397228,"Information Technology",27068668,"USD"
"BRK-B","Berkshire Hathaway Inc. Class B","08467070","2073390",0.01626311403351709,"Financials",19564428,"USD"
"GOOGL","Alphabet Inc. Class A","02079K30","BYVY8G0",0.016168860517313127,"Communication Services",64858904,"USD"
"TSLA","Tesla Inc","88160R10","B616C79",0.016153711916088838,"Consumer Discretionary",29145866,"USD"
"GOOG","Alphabet Inc. Class C","02079K10","BYY88Y7",0.014361384250363514,"Communication Services",57494652,"USD"
"UNH","UnitedHealth Group Incorporated","91324P10","2917766",0.013682678888245958,"Health Care",10145798,"USD"
"XOM","Exxon Mobil Corporation","30231G10","2326618",0.013582842201973859,"Energy",44719052,"USD"
"JNJ","Johnson & Johnson","47816010","2475833",0.0122958414558202,"Health Care",28421728,"USD"
"JPM","JPMorgan Chase & Co.","46625H10","2190385",0.012201587939616235,"Financials",31850746,"USD"
"META","Meta Platforms Inc. Class A","30303M10","B7TL820",0.011522012083240746,"Communication Services",24417724,"USD"
"V","Visa Inc. Class A","92826C83","B2PZN04",0.010768124033144779,"Information Technology",17754106,"USD"
"PG","Procter & Gamble Company","74271810","2704407",0.009884382253399658,"Consumer Staples",25731966,"USD"
"HD","Home Depot Inc.","43707610","2434209",0.009120698641481647,"Consumer Discretionary",11109981,"USD"
"MA","Mastercard Incorporated Class A","57636Q10","B121557",0.008993806593445692,"Information Technology",9223030,"USD"
"CVX","Chevron Corporation","16676410","2838555",0.008579381286900889,"Energy",19316800,"USD"
"MRK","Merck & Co. Inc.","58933Y10","2778844",0.008350841524309087,"Health Care",27530922,"USD"
"ABBV","AbbVie Inc.","00287Y10","B92SR70",0.008009757860415566,"Health Care",19203592,"USD"
"LLY","Eli Lilly and Company","53245710","2516152",0.007693128081193221,"Health Care",8563903,"USD"
"PEP","PepsiCo Inc.","71344810","2681511",0.00723439761862388,"Consumer Staples",14960003,"USD"
"BAC","Bank of America Corp","06050510","2295677",0.007121683620743021,"Financials",75788270,"USD"
"PFE","Pfizer Inc.","71708110","2684703",0.007071805300331476,"Health Care",60953176,"USD"
"AVGO","Broadcom Inc.","11135F10","BDZ78H9",0.0070421184444315645,"Information Technology",4397905,"USD"
"KO","Coca-Cola Company","19121610","2206657",0.006965524955414436,"Consumer Staples",42262760,"USD"
"COST","Costco Wholesale Corporation","22160K10","2701271",0.0065010412261978226,"Consumer Staples",4806394,"USD"
"TMO","Thermo Fisher Scientific Inc.","88355610","2886907",0.006435904242069606,"Health Care",4258960,"USD"
"CSCO","Cisco Systems Inc.","17275R10","2198163",0.006017856878957303,"Information Technology",44585596,"USD"
"WMT","Walmart Inc.","93114210","2936921",0.005972881342297343,"Consumer Staples",15325929,"USD"
"MCD","McDonald's Corporation","58013510","2550707",0.005817983392790593,"Consumer Discretionary",7951064,"USD"
"DIS","Walt Disney Company","25468710","2270726",0.005523546214305021,"Communication Services",19795904,"USD"
"ABT","Abbott Laboratories","00282410","2002305",0.005323352546342288,"Health Care",18925874,"USD"
"WFC","Wells Fargo & Company","94974610","2649100",0.0052488402389993015,"Financials",41376940,"USD"
"ACN","Accenture Plc Class A","G1151C10","B4BNMY3",0.005083226205006941,"Information Technology",6832941,"USD"
"DHR","Danaher Corporation","23585110","2250870",0.004927137579446234,"Health Care",7114146,"USD"
"CRM","Salesforce Inc.","79466L30","2310525",0.004888035377607052,"Information Technology",10858746,"USD"
"LIN","Linde plc","G5494J10","BZ12WP8",0.004886944758364352,"Materials",5368458,"USD"
"CMCSA","Comcast Corporation Class A","20030N10","2044545",0.0048425595568908075,"Communication Services",46844124,"USD"
"ADBE","Adobe Incorporated","00724F10","2008154",0.00482028691070503,"Information Technology",5064367,"USD"
"VZ","Verizon Communications Inc.","92343V10","2090571",0.0048194964618961,"Communication Services",45604650,"USD"
"TXN","Texas Instruments Incorporated","88250810","2885409",0.0046601860070129226,"Information Technology",9888635,"USD"
"PM","Philip Morris International Inc.","71817210","B2PKRQ3",0.00460913702190967,"Consumer Staples",16833146,"USD"
"BMY","Bristol-Myers Squibb Company","11012210","2126335",0.004519245982676504,"Health Care",23076716,"USD"
"NKE","NIKE Inc. Class B","65410610","2640147",0.004498754347731099,"Consumer Discretionary",13672936,"USD"
"RTX","Raytheon Technologies Corporation","75513E10","BM5M5Y3",0.004366669351190913,"Industrials",15978008,"USD"
"NEE","NextEra Energy Inc.","65339F10","2328915",0.004312748735604589,"Utilities",21578022,"USD"
"NFLX","Netflix Inc.","64110L10","2857817",0.0042896055951608765,"Communication Services",4832239,"USD"
"QCOM","QUALCOMM Incorporated","74752510","2714923",0.004206108186167025,"Information Technology",12151434,"USD"
"T","AT&T Inc.","00206R10","2831811",0.004107322096413122,"Communication Services",77389970,"USD"
"ORCL","Oracle Corporation","68389X10","2661568",0.004054432065982745,"Information Technology",16687883,"USD"
"COP","ConocoPhillips","20825C10","2685717",0.003912701592837397,"Energy",13530661,"USD"
"UPS","United Parcel Service Inc. Class B","91131210","2517382",0.003903436332115012,"Industrials",7909080,"USD"
"HON","Honeywell International Inc.","43851610","2020459",0.003899213934679972,"Industrials",7289604,"USD"
"MS","Morgan Stanley","61744644","2262314",0.0038453933759049056,"Financials",14314861,"USD"
"AMD","Advanced Micro Devices Inc.","00790310","2007849",0.0038231507467625042,"Information Technology",17478212,"USD"
"AMGN","Amgen Inc.","03116210","2023607",0.0037723719150496464,"Health Care",5788133,"USD"
"LOW","Lowe's Companies Inc.","54866110","2536763",0.0037382925651355584,"Consumer Discretionary",6740263,"USD"
"CAT","Caterpillar Inc.","14912310","2180201",0.003687953983392231,"Industrials",5650757,"USD"
"GS","Goldman Sachs Group Inc.","38141G10","2407966",0.003681640398601922,"Financials",3692284,"USD"
"SCHW","Charles Schwab Corp","80851310","2779397",0.0035784317977904678,"Financials",16521015,"USD"
"UNP","Union Pacific Corporation","90781810","2914734",0.003539789857283067,"Industrials",6675855,"USD"
"SBUX","Starbucks Corporation","85524410","2842255",0.003538839317576127,"Consumer Discretionary",12464777,"USD"
"IBM","International Business Machines Corporation","45920010","2005973",0.00352189969943034,"Information Technology",9817677,"USD"
"DE","Deere & Company","24419910","2261203",0.0034773544070587845,"Industrials",2982737,"USD"
"BA","Boeing Company","09702310","2108601",0.0034728418448710992,"Industrials",6083540,"USD"
"ELV","Elevance Health Inc.","03675210","BSPHGL4",0.0034636566295977197,"Health Care",2597753,"USD"
"INTU","Intuit Inc.","46120210","2459020",0.0034575731754733024,"Information Technology",3060602,"USD"
"SPGI","S&P Global Inc.","78409V10","BYV2325",0.0034527404314895955,"Financials",3616004,"USD"
"PLD","Prologis Inc.","74340W10","B44WZD7",0.0034093557981286194,"Real Estate",10023552,"USD"
"CVS","CVS Health Corporation","12665010","2577609",0.0033995702419876983,"Health Care",14267906,"USD"
"LMT","Lockheed Martin Corporation","53983010","2522096",0.003327969587852287,"Industrials",2532662,"USD"
"MDT","Medtronic Plc","G5960L10","BTN1Y11",0.0033248578210221987,"Health Care",14432825,"USD"
"INTC","Intel Corporation","45814010","2463247",0.003147857321908807,"Information Technology",44813776,"USD"
"AXP","American Express Company","02581610","2026082",0.0031178202671694965,"Financials",6490403,"USD"
"BLK","BlackRock Inc.","09247X10","2494504",0.0030958778084608663,"Financials",1631492,"USD"
"GILD","Gilead Sciences Inc.","37555810","2369174",0.003083370707053758,"Health Care",13619710,"USD"
"C","Citigroup Inc.","17296742","2297907",0.0029061600886367274,"Financials",21031384,"USD"
"AMAT","Applied Materials Inc.","03822210","2046552",0.0028930626520432038,"Information Technology",9341832,"USD"
"ADI","Analog Devices Inc.","03265410","2032067",0.002865527017585315,"Information Technology",5627514,"USD"
"BKNG","Booking Holdings Inc.","09857L10","BDRXDB4",0.002803511805968311,"Consumer Discretionary",421240,"USD"
"AMT","American Tower Corporation","03027X10","B7FBFL2",0.0028006501811663645,"Real Estate",5055919,"USD"
"ADP","Automatic Data Processing Inc.","05301510","2065308",0.002746539457638653,"Information Technology",4494863,"USD"
"TJX","TJX Companies Inc","87254010","2989301",0.002702184273208485,"Consumer Discretionary",12671296,"USD"
"GE","General Electric Company","36960430","BL59CR9",0.0026905476660593116,"Industrials",11827250,"USD"
"MDLZ","Mondelez International Inc. Class A","60920710","B8CKK03",0.00268767603557624,"Consumer Staples",14831272,"USD"
"CI","Cigna Group","12552310","BHJ0775",0.0026830434052150473,"Health Care",3319917,"USD"
