"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07960142386779406,"-",288034082,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.0673079430206305,"-",87745925,"USD"
"AAPL","APPLE INC","037833100","2046251",0.0660514265540096,"-",175185424,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.0373070550633088,"-",114563979,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.02732079695596021,"-",55521670,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.027108084196069356,"-",25603271,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.02482044200245209,"-",68666106,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.022463265429036497,"-",33124313,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.01997738392052728,"-",55123672,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.01591672975233372,"-",21645712,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.01488541450400382,"-",32458422,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.011432774698255604,"-",9384223,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.010293801357663003,"-",20050740,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.008667997585218915,"-",5015577,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.008344135550605258,"-",19560956,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.008317782110434959,"-",50321055,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.008251599265798343,"-",9743651,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.007805954812169097,"-",28426147,"USD"
"WMT","WALMART INC","931142103","2936921",0.007796568518754922,"-",51807841,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.007520844902862636,"-",20850809,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.007327792487625703,"-",26843574,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.007087309864966448,"-",5234472,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.006881549545574723,"-",11743450,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.006250732774261359,"-",27647173,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.006016364708310808,"-",80430167,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.005558241771088432,"-",12516008,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.005495260839508088,"-",10689474,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005187488168632013,"-",22736580,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.004742591825529933,"-",46737464,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.004648798715037379,"-",10993934,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.004636529702391857,"-",19153339,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004512852070040781,"-",37808104,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.0045058098562783915,"-",45713914,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.004361783617588402,"-",18371225,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.004142337862953054,"-",3572858,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.00404649991701958,"-",20540813,"USD"
