"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07934478463831182,"-",296931537,"USD"
"AAPL","APPLE INC","037833100","2046251",0.07070668766075025,"-",180059036,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.05744248741268505,"-",91067719,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.039274886050637746,"-",120013160,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.030603670221163292,"-",71887682,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.02629383697788455,"-",58045950,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.02440368106333487,"-",57944236,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.019114370281851836,"-",26922422,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.015841117080664657,"-",13825038,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.014784125419871499,"-",34512659,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014428943243072822,"-",32848062,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.013991304130136956,"-",9697538,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.013940855413718596,"-",22474769,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.011431146837402786,"-",19989061,"USD"
"XOM","EXXONMOBIL HOLDINGS CORP","30233Q108","BVSRPD7",0.00978013704961138,"-",50809528,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.009714899915329804,"-",29507724,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.00953523764797398,"-",20343238,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.007231546340808115,"-",9889915,"USD"
"WMT","WALMART INC","931142103","2936921",0.006804453230868075,"-",53737061,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.006795578179011056,"-",21655405,"USD"
"INTC","INTEL CORP","458140100","2463247",0.006652786899358854,"-",60537302,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.006537121060049802,"-",48413598,"USD"
