"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"MSFT","MICROSOFT CORP","594918104","2588173",0.07317151322404118,"-",87088780,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06486726344453636,"-",171307366,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.04230803365942545,"-",28942582,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.037156796994671136,"-",106559576,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.024675094788880872,"-",26008711,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.02069935202434814,"-",69345257,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.017562840335019564,"-",58362857,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.01715555833703698,"-",21319573,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.013938250705405915,"-",9343896,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.013164164736021573,"-",5143316,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.012330047201381764,"-",32392678,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.012048822484199835,"-",33875880,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.011351099387705054,"-",10838034,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.010395237558533154,"-",18678041,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.009708562111320257,"-",46941730,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.009009788287312252,"-",28210476,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.009006506014699517,"-",9704169,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.008779819058918203,"-",27619885,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.008665569953980436,"-",11719509,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.007583790941009646,"-",5188512,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.007530824267414515,"-",29695671,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.007244586078955207,"-",20688654,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.006628589569131771,"-",11402385,"USD"
"ADBE","ADOBE INC","00724F101","2008154",0.006605053272835578,"-",5335547,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.006585589796519212,"-",18933631,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.006330553211738275,"-",20573565,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.00578935849392761,"-",5129246,"USD"
"WMT","WALMART INC","931142103","2936921",0.005760208310632198,"-",16717209,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.0055618209492070214,"-",16112132,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.005507913624314339,"-",45598750,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.005488350078710999,"-",80683363,"USD"
"ACN","ACCENTURE PLC CL A","G1151C101","B4BNMY3",0.005467695777879645,"-",7354785,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.005009108256465694,"-",4527144,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.004977816590429047,"-",8500036,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.004824330318068928,"-",5682401,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.004801134257348446,"-",47468025,"USD"
"DIS","WALT DISNEY CO/THE","254687106","2270726",0.004742013322604438,"-",21444812,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.004630626199274115,"-",20338182,"USD"
"INTC","INTEL CORP","458140100","2463247",0.004401417497461067,"-",49406520,"USD"
"INTU","INTUIT INC","461202103","2459020",0.004366643420237739,"-",3284952,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.004363851487131175,"-",18618787,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.004212426642082712,"-",42558441,"USD"
"CMCSA","COMCAST CORP CLASS A","20030N101","2044545",0.004057039053270093,"-",47058467,"USD"
"QCOM","QUALCOMM INC","747525103","2714923",0.004040287454630712,"-",13043010,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.004025237033869881,"-",10686737,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.003997187612731179,"-",49266329,"USD"
