"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"AAPL","Apple Inc.","03783310","2046251",0.060673957926230565,"Information Technology",168107470,"USD"
"MSFT","Microsoft Corporation","59491810","2588173",0.055119376674314456,"Information Technology",83802600,"USD"
"AMZN","Amazon.com Inc.","02313510","2000019",0.02299796134592129,"Consumer Discretionary",99776940,"USD"
"BRK-B","Berkshire Hathaway Inc. Class B","08467070","2073390",0.01717837217203116,"Financials",20254796,"USD"
"GOOGL","Alphabet Inc. Class A","02079K30","BYVY8G0",0.016287962362311913,"Communication Services",67148024,"USD"
"UNH","UnitedHealth Group Incorporated","91324P10","2917766",0.015510447047894489,"Health Care",10503862,"USD"
"GOOG","Alphabet Inc. Class C","02079K10","BYY88Y7",0.014527812720478303,"Communication Services",59523896,"USD"
"JNJ","Johnson & Johnson","47816010","2475833",0.014490964933683138,"Health Care",29423792,"USD"
"XOM","Exxon Mobil Corporation","30231G10","2326618",0.014160265301663767,"Energy",46297496,"USD"
"JPM","JPMorgan Chase & Co.","46625H10","2190385",0.012057920478794318,"Financials",32974868,"USD"
"PG","Procter & Gamble Company","74271810","2704407",0.011383755052401344,"Consumer Staples",26640006,"USD"
"NVDA","NVIDIA Corporation","67066G10","2379504",0.010983811995888534,"Information Technology",28023076,"USD"
"V","Visa Inc. Class A","92826C83","B2PZN04",0.01052476040709611,"Information Technology",18380718,"USD"
"HD","Home Depot Inc.","43707610","2434209",0.010202124667598296,"Consumer Discretionary",11502177,"USD"
"CVX","Chevron Corporation","16676410","2838555",0.009971363276767328,"Energy",19998796,"USD"
"MA","Mastercard Incorporated Class A","57636Q10","B121557",0.00917428852081188,"Information Technology",9548250,"USD"
"TSLA","Tesla Inc","88160R10","B616C79",0.009137640830605342,"Consumer Discretionary",30174334,"USD"
"ABBV","AbbVie Inc.","00287Y10","B92SR70",0.008994411692468071,"Health Care",19881080,"USD"
"LLY","Eli Lilly and Company","53245710","2516152",0.008979384438662386,"Health Care",8865939,"USD"
"PFE","Pfizer Inc.","71708110","2684703",0.0089558630846696,"Health Care",63104476,"USD"
"MRK","Merck & Co. Inc.","58933Y10","2778844",0.008870361812350439,"Health Care",28502718,"USD"
"META","Meta Platforms Inc. Class A","30303M10","B7TL820",0.008201218810331935,"Communication Services",25279396,"USD"
"PEP","PepsiCo Inc.","71344810","2681511",0.007870219033429627,"Consumer Staples",15488083,"USD"
"KO","Coca-Cola Company","19121610","2206657",0.007798204271183743,"Consumer Staples",43754264,"USD"
"BAC","Bank of America Corp","06050510","2295677",0.0070846998554672325,"Financials",78463150,"USD"
"AVGO","Broadcom Inc.","11135F10","BDZ78H9",0.006995656873529421,"Information Technology",4553109,"USD"
"TMO","Thermo Fisher Scientific Inc.","88355610","2886907",0.0066751321530415944,"Health Care",4409012,"USD"
"WMT","Walmart Inc.","93114210","2936921",0.00633362730523651,"Consumer Staples",15866889,"USD"
"COST","Costco Wholesale Corporation","22160K10","2701271",0.006332436730534196,"Consumer Staples",4975766,"USD"
"MCD","McDonald's Corporation","58013510","2550707",0.006097053108506007,"Consumer Discretionary",8231848,"USD"
"CSCO","Cisco Systems Inc.","17275R10","2198163",0.006089699558874064,"Information Technology",46159004,"USD"
"ABT","Abbott Laboratories","00282410","2002305",0.005904900354450096,"Health Care",19594346,"USD"
"DHR","Danaher Corporation","23585110","2250870",0.005333394482850817,"Health Care",7365306,"USD"
"ACN","Accenture Plc Class A","G1151C10","B4BNMY3",0.005209754800739865,"Information Technology",7074441,"USD"
"NEE","NextEra Energy Inc.","65339F10","2328915",0.005208654269502432,"Utilities",22339572,"USD"
"VZ","Verizon Communications Inc.","92343V10","2090571",0.005143772950641003,"Communication Services",47214000,"USD"
"LIN","Linde plc","G5494J10","BZ12WP8",0.005074629574441878,"Materials",5557794,"USD"
"PM","Philip Morris International Inc.","71817210","B2PKRQ3",0.004966917580785421,"Consumer Staples",17427256,"USD"
"DIS","Walt Disney Company","25468710","2270726",0.0049133217095224035,"Communication Services",20494644,"USD"
"WFC","Wells Fargo & Company","94974610","2649100",0.004879785521268972,"Financials",42837230,"USD"
"ADBE","Adobe Incorporated","00724F10","2008154",0.004876323850285772,"Information Technology",5242755,"USD"
"BMY","Bristol-Myers Squibb Company","11012210","2126335",0.004815144318313893,"Health Care",23891376,"USD"
"CMCSA","Comcast Corporation Class A","20030N10","2044545",0.004711474275747646,"Communication Services",48497270,"USD"
"TXN","Texas Instruments Incorporated","88250810","2885409",0.004653496289193757,"Information Technology",10236395,"USD"
"NKE","NIKE Inc. Class B","65410610","2640147",0.004619229748391847,"Consumer Discretionary",14155936,"USD"
"COP","ConocoPhillips","20825C10","2685717",0.0046064135618904605,"Energy",14008207,"USD"
"RTX","Raytheon Technologies Corporation","75513E10","BM5M5Y3",0.004575808788660374,"Industrials",16541508,"USD"
"HON","Honeywell International Inc.","43851610","2020459",0.004501673002575073,"Industrials",7547204,"USD"
"AMGN","Amgen Inc.","03116210","2023607",0.004381364928664716,"Health Care",5992925,"USD"
"T","AT&T Inc.","00206R10","2831811",0.004105351694316363,"Communication Services",80121176,"USD"
"CRM","Salesforce Inc.","79466L30","2310525",0.004077138075320338,"Information Technology",11241926,"USD"
"UNP","Union Pacific Corporation","90781810","2914734",0.004034857666144025,"Industrials",6911559,"USD"
"UPS","United Parcel Service Inc. Class B","91131210","2517382",0.004021441189876765,"Industrials",8188576,"USD"
"IBM","International Business Machines Corporation","45920010","2005973",0.004018039547870152,"Information Technology",10164149,"USD"
"CAT","Caterpillar Inc.","14912310","2180201",0.003948325896393448,"Industrials",5850397,"USD"
"NFLX","Netflix Inc.","64110L10","2857817",0.0039461348387480125,"Communication Services",5002899,"USD"
"LOW","Lowe's Companies Inc.","54866110","2536763",0.0039068258639127695,"Consumer Discretionary",6977899,"USD"
"SCHW","Charles Schwab Corp","80851310","2779397",0.0039038344199128364,"Financials",17105768,"USD"
"ORCL","Oracle Corporation","68389X10","2661568",0.0038834145630437266,"Information Technology",17276840,"USD"
"ELV","Elevance Health Inc.","03675210","BSPHGL4",0.0038382727726500856,"Health Care",2689201,"USD"
"QCOM","QUALCOMM Incorporated","74752510","2714923",0.0038224451324899043,"Information Technology",12580982,"USD"
"CVS","CVS Health Corporation","12665010","2577609",0.0038139310226439405,"Health Care",14771514,"USD"
"DE","Deere & Company","24419910","2261203",0.0037380443914081765,"Industrials",3087709,"USD"
"GS","Goldman Sachs Group Inc.","38141G10","2407966",0.0036282113739123014,"Financials",3822372,"USD"
"SBUX","Starbucks Corporation","85524410","2842255",0.003553275201472503,"Consumer Discretionary",12904629,"USD"
"LMT","Lockheed Martin Corporation","53983010","2522096",0.0035336457261284596,"Industrials",2622178,"USD"
"MS","Morgan Stanley","61744644","2262314",0.0034990390211258877,"Financials",14820099,"USD"
"SPGI","S&P Global Inc.","78409V10","BYV2325",0.0034427018265987177,"Financials",3743516,"USD"
"INTU","Intuit Inc.","46120210","2459020",0.0033696865814097123,"Information Technology",3168794,"USD"
"INTC","Intel Corporation","45814010","2463247",0.0033405425132765837,"Information Technology",46395440,"USD"
"GILD","Gilead Sciences Inc.","37555810","2369174",0.003327096022521031,"Health Care",14100134,"USD"
"BA","Boeing Company","09702310","2108601",0.0033109582326484818,"Industrials",6297992,"USD"
"BLK","BlackRock Inc.","09247X10","2494504",0.00329661130724412,"Financials",1688808,"USD"
"PLD","Prologis Inc.","74340W10","B44WZD7",0.0032631651624555687,"Real Estate",10377108,"USD"
"MDT","Medtronic Plc","G5960L10","BTN1Y11",0.0032201243862424833,"Health Care",14942229,"USD"
"CI","Cigna Corporation","12552310","BHJ0775",0.003187448613320136,"Health Care",3437125,"USD"
"AMD","Advanced Micro Devices Inc.","00790310","2007849",0.0031780140591665,"Information Technology",18096150,"USD"
"ADP","Automatic Data Processing Inc.","05301510","2065308",0.0031136029672883397,"Information Technology",4653931,"USD"
"AMT","American Tower Corporation","03027X10","B7FBFL2",0.0030641290857509828,"Real Estate",5234307,"USD"
"ISRG","Intuitive Surgical Inc.","46120E60","2871301",0.0029281434441219122,"Health Care",3996380,"USD"
"TJX","TJX Companies Inc","87254010","2989301",0.0028772288671464604,"Consumer Discretionary",13116300,"USD"
"MDLZ","Mondelez International Inc. Class A","60920710","B8CKK03",0.0028764484904508256,"Consumer Staples",15354844,"USD"
"CB","Chubb Limited","H1467J10","B3BQMF6",0.0028688048007653776,"Financials",4678786,"USD"
"GE","General Electric Company","36960430","BL59CR9",0.0028157892096093706,"Industrials",12245850,"USD"
"AXP","American Express Company","02581610","2026082",0.0027304280049022466,"Financials",6719667,"USD"
"C","Citigroup Inc.","17296742","2297907",0.002682835031297958,"Financials",21773916,"USD"
"TMUS","T-Mobile US Inc.","87259010","B94Q9V0",0.002639173955660137,"Communication Services",6743845,"USD"
"ADI","Analog Devices Inc.","03265410","2032067",0.002622325822897971,"Information Technology",5824578,"USD"
"MO","Altria Group Inc","02209S10","2692632",0.0026028764344836895,"Consumer Staples",20175116,"USD"
"MMC","Marsh & McLennan Companies Inc.","57174810","2567741",0.0025823365196614057,"Financials",5589630,"USD"
"AMAT","Applied Materials Inc.","03822210","2046552",0.002559435465093355,"Information Technology",9671560,"USD"
"SYK","Stryker Corporation","86366710","2853688",0.0025547932242372716,"Health Care",3771726,"USD"
"DUK","Duke Energy Corporation","26441C20","B7VD3F2",0.0024911124849075895,"Utilities",8657011,"USD"
"SO","Southern Company","84258710","2829601",0.0024550950989552164,"Utilities",12238793,"USD"
"NOC","Northrop Grumman Corp.","66680710","2648806",0.002444730095664478,"Industrials",1627459,"USD"
"PYPL","PayPal Holdings Inc.","70450Y10","BYW36M8",0.00243074334411964,"Information Technology",12816101,"USD"
"EOG","EOG Resources Inc.","26875P10","2318024",0.002420908596788756,"Energy",6603417,"USD"
"BKNG","Booking Holdings Inc.","09857L10","BDRXDB4",0.002418597481190145,"Consumer Discretionary",436052,"USD"
"NOW","ServiceNow Inc.","81762P10","B80NXX8",0.002391224267866342,"Information Technology",2263256,"USD"
"PGR","Progressive Corporation","74331510","2705024",0.0023764671444553,"Financials",6577335,"USD"
"REGN","Regeneron Pharmaceuticals Inc.","75886F10","2730190",0.0023700240343015977,"Health Care",1200324,"USD"
"SLB","Schlumberger NV","80685710","2779201",0.00236724269171972,"Energy",15941074,"USD"
"VRTX","Vertex Pharmaceuticals Incorporated","92532F10","2931034",0.0023014209188917585,"Health Care",2885745,"USD"
"BDX","Becton Dickinson and Company","07588710","2087807",0.0022641429244310523,"Health Care",3195071,"USD"
"APD","Air Products and Chemicals Inc.","00915810","2011602",0.0021607430122594475,"Materials",2493441,"USD"
"ZTS","Zoetis Inc. Class A","98978V10","B95WG16",0.002112919927578241,"Health Care",5238976,"USD"
"TGT","Target Corporation","87612E10","2259101",0.002098783103591935,"Consumer Discretionary",5194984,"USD"
"CL","Colgate-Palmolive Company","19416210","2209106",0.0020769325561141617,"Consumer Staples",9360227,"USD"
"MMM","3M Company","88579Y10","2595708",0.00207354091893698,"Industrials",6213900,"USD"
"BSX","Boston Scientific Corporation","10113710","2113434",0.0020666575962883043,"Health Care",16101936,"USD"
"CSX","CSX Corporation","12640810","2160753",0.002049459294496046,"Industrials",23635108,"USD"
"HUM","Humana Inc.","44485910","2445063",0.002032050891285733,"Health Care",1423244,"USD"
"FISV","Fiserv Inc.","33773810","2342034",0.002005187924262921,"Information Technology",7165324,"USD"
"PNC","PNC Financial Services Group Inc.","69347510","2692665",0.001962787457133433,"Financials",4534073,"USD"
"ITW","Illinois Tool Works Inc.","45230810","2457552",0.0019599060662572427,"Industrials",3155883,"USD"
"ETN","Eaton Corp. Plc","G2918310","B8KQN82",0.0019487506814414386,"Industrials",4462157,"USD"
"AON","Aon Plc Class A","G0403H10","BLP1HW5",0.0019426777499766913,"Financials",2325440,"USD"
"EQIX","Equinix Inc.","29444U70","BVLZX12",0.0018900623519979328,"Real Estate",1040257,"USD"
"CME","CME Group Inc. Class A","12572Q10","2965839",0.0018821785464061356,"Financials",4043979,"USD"
"WM","Waste Management Inc.","94106L10","2937667",0.001865610548868044,"Industrials",4213952,"USD"
"MRNA","Moderna Inc.","60770K10","BGSXTS3",0.0018575066370287601,"Health Care",3714287,"USD"
"CCI","Crown Castle Inc.","22822V10","BTGQCX1",0.0018503131646677167,"Real Estate",4868262,"USD"
"USB","U.S. Bancorp","90297330","2736035",0.0018352659012031696,"Financials",15147590,"USD"
"NSC","Norfolk Southern Corporation","65584410","2641894",0.0018025601137925287,"Industrials",2602628,"USD"
"EL","Estee Lauder Companies Inc. Class A","51843910","2320524",0.0017841912469568184,"Consumer Staples",2588871,"USD"
"EMR","Emerson Electric Co.","29101110","2313405",0.0017797190882010655,"Industrials",6633357,"USD"
"TFC","Truist Financial Corporation","89832Q10","BKP7287",0.0017736061374185933,"Financials",14915441,"USD"
"ICE","Intercontinental Exchange Inc.","45866F10","BFSSDS9",0.001771405074943726,"Financials",6249960,"USD"
"SHW","Sherwin-Williams Company","82434810","2804211",0.0017561076907433987,"Materials",2642525,"USD"
"DG","Dollar General Corporation","25667710","B5B1S13",0.0017424911178875154,"Consumer Discretionary",2539817,"USD"
"GD","General Dynamics Corporation","36955010","2365161",0.0017392695628106643,"Industrials",2519120,"USD"
"FCX","Freeport-McMoRan Inc.","35671D85","2352118",0.0017289245691787883,"Materials",16020563,"USD"
"LRCX","Lam Research Corporation","51280710","2502247",0.001726813550168802,"Information Technology",1534355,"USD"
"PXD","Pioneer Natural Resources Company","72378710","2690830",0.0017180893389047826,"Energy",2673410,"USD"
"MPC","Marathon Petroleum Corporation","56585A10","B3K3L40",0.0017083846543565044,"Energy",5268617,"USD"
"MCK","McKesson Corporation","58155Q10","2378534",0.0016994903609921545,"Health Care",1610443,"USD"
"MU","Micron Technology Inc.","59511210","2588184",0.0016968891053400388,"Information Technology",12221868,"USD"
"ATVI","Activision Blizzard Inc.","00507V10","2575818",0.0016778199004441432,"Communication Services",7975566,"USD"
"ORLY","O'Reilly Automotive Inc.","67103H10","B65LWX6",0.0016477353783444807,"Consumer Discretionary",703486,"USD"
"ADM","Archer-Daniels-Midland Company","03948310","2047317",0.0016440435962843624,"Consumer Staples",6175587,"USD"
"KLAC","KLA Corporation","48248010","2480138",0.0016363498824517584,"Information Technology",1588594,"USD"
"HCA","HCA Healthcare Inc","40412C10","B4MGBG6",0.0016070257273888679,"Health Care",2412040,"USD"
"D","Dominion Energy Inc","25746U10","2542049",0.00159938203770342,"Utilities",9326826,"USD"
"GIS","General Mills Inc.","37033410","2367026",0.0015922986184661197,"Consumer Staples",6675101,"USD"
"PSX","Phillips 66","71854610","B78C4Y8",0.0015598429517912592,"Energy",5373548,"USD"
"SRE","Sempra Energy","81685110","2138158",0.0015580020631759156,"Utilities",3533749,"USD"
"AEP","American Electric Power Company Inc.","02553710","2026242",0.0015439852971427836,"Utilities",5776846,"USD"
"VLO","Valero Energy Corporation","91913Y10","2041364",0.0015206840493974846,"Energy",4333969,"USD"
"SNPS","Synopsys Inc.","87160710","2867719",0.0015088683458392201,"Information Technology",1709702,"USD"
"MET","MetLife Inc.","59156R10","2573209",0.0015067273123409402,"Financials",7505954,"USD"
"GM","General Motors Company","37045V10","B665KZ5",0.0014771230220539755,"Consumer Discretionary",15971341,"USD"
"AIG","American International Group Inc.","02687478","2027342",0.0014682487383484882,"Financials",8352519,"USD"
"OXY","Occidental Petroleum Corporation","67459910","2655408",0.001459624575378781,"Energy",8174378,"USD"
"AZO","AutoZone Inc.","05333210","2065955",0.001453471605278584,"Consumer Discretionary",213356,"USD"
"KMB","Kimberly-Clark Corporation","49436810","2491839",0.0014528012817066928,"Consumer Staples",3782337,"USD"
"CNC","Centene Corporation","15135B10","2807061",0.0014500599584425398,"Health Care",6403697,"USD"
"ROP","Roper Technologies Inc.","77669610","2749602",0.0014333819077807048,"Information Technology",1192210,"USD"
"EW","Edwards Lifesciences Corporation","28176E10","2567116",0.001420485682643869,"Health Care",6954174,"USD"
"APH","Amphenol Corporation Class A","03209510","2145084",0.0014177643690385785,"Information Technology",6689969,"USD"
"TRV","Travelers Companies Inc.","89417E10","2769503",0.0014059886847980387,"Financials",2659266,"USD"
"PSA","Public Storage","74460D10","2852533",0.0013907913488920237,"Real Estate",1770281,"USD"
"A","Agilent Technologies Inc.","00846U10","2520153",0.001387359692397117,"Health Care",3342187,"USD"
"JCI","Johnson Controls International plc","G5150210","BY7QL61",0.0013772348050127277,"Industrials",7716600,"USD"
"F","Ford Motor Company","34537086","2615468",0.0013754739550328337,"Consumer Discretionary",44244692,"USD"
"CDNS","Cadence Design Systems Inc.","12738710","2302232",0.001364018425334093,"Information Technology",3070381,"USD"
"MCO","Moody's Corporation","61536910","2252058",0.0013559145134948091,"Financials",1767601,"USD"
"DXCM","DexCom Inc.","25213110","B0796X4",0.0013371954776290062,"Health Care",4384340,"USD"
"CTVA","Corteva Inc","22052L10","BK73B42",0.0013340339515287426,"Materials",8042398,"USD"
"EXC","Exelon Corporation","30161N10","2670519",0.0013306723288398544,"Utilities",11110080,"USD"
"MSI","Motorola Solutions Inc.","62007630","B5BKPQ4",0.0013303521742980555,"Information Technology",1867619,"USD"
"FDX","FedEx Corporation","31428X10","2142784",0.001322638450806589,"Industrials",2691365,"USD"
"AFL","Aflac Incorporated","00105510","2026361",0.0012918135713290164,"Financials",6442434,"USD"
"DVN","Devon Energy Corporation","25179M10","2480677",0.0012876815767739243,"Energy",7335775,"USD"
"WMB","Williams Companies Inc.","96945710","2967181",0.0012659610920787575,"Energy",13651220,"USD"
"ADSK","Autodesk Inc.","05276910","2065159",0.0012570167745672514,"Information Technology",2430977,"USD"
"O","Realty Income Corporation","75610910","2724193",0.0012546256203331912,"Real Estate",7050441,"USD"
"NXPI","NXP Semiconductors NV","N6596X10","B505PN7",0.00125453557686831,"Information Technology",2939089,"USD"
"ROST","Ross Stores Inc.","77829610","2746711",0.0012504436016309432,"Consumer Discretionary",3916004,"USD"
"FIS","Fidelity National Information Services Inc.","31620M10","2769796",0.0012455712496979416,"Information Technology",6670762,"USD"
"MAR","Marriott International Inc. Class A","57190320","2210614",0.0012455112207213545,"Consumer Discretionary",3024742,"USD"
"BIIB","Biogen Inc.","09062X10","2455965",0.0012383477628486047,"Health Care",1623685,"USD"
"AJG","Arthur J. Gallagher & Co.","36357610","2359506",0.0012382076952365676,"Financials",2356760,"USD"
"SYY","Sysco Corporation","87182910","2868165",0.0012352862850426528,"Consumer Staples",5707811,"USD"
"HES","Hess Corporation","42809H10","2023748",0.001231934667183196,"Energy",3094837,"USD"
"TT","Trane Technologies plc","G8994E10","BK9ZQ96",0.0012278126774575356,"Industrials",2600191,"USD"
"CTAS","Cintas Corporation","17290810","2197137",0.0012277326388220858,"Industrials",963587,"USD"
"LHX","L3Harris Technologies Inc","50243110","BK9DTN5",0.0012272524070093874,"Industrials",2141646,"USD"
"XEL","Xcel Energy Inc.","98389B10","2614807",0.0012221599488288991,"Utilities",6152149,"USD"
"MNST","Monster Beverage Corporation","61174X10","BZ07BW4",0.0012201089587955002,"Consumer Staples",4309073,"USD"
"CMG","Chipotle Mexican Grill Inc.","16965610","B0X7DZ3",0.0012056319706085325,"Consumer Discretionary",310696,"USD"
"NEM","Newmont Corporation","65163910","2636607",0.0012002593772039703,"Materials",8870118,"USD"
"SPG","Simon Property Group Inc.","82880610","2812452",0.0011957471991304923,"Real Estate",3647698,"USD"
"MCHP","Microchip Technology Incorporated","59501710","2592174",0.0011820605924685906,"Information Technology",6169243,"USD"
"STZ","Constellation Brands Inc. Class A","21036P10","2170473",0.0011771582260472952,"Consumer Staples",1824928,"USD"
"IQV","IQVIA Holdings Inc","46266C10","BDR73G1",0.0011767880473583403,"Health Care",2089099,"USD"
"PH","Parker-Hannifin Corporation","70109410","2671501",0.0011632415083084756,"Industrials",1432409,"USD"
"MSCI","MSCI Inc. Class A","55354G10","B2972D2",0.0011567183595193235,"Financials",905092,"USD"
"ENPH","Enphase Energy Inc.","29355A10","B65SQW4",0.0011562781470243501,"Information Technology",1517351,"USD"
"PAYX","Paychex Inc.","70432610","2674458",0.0011523262393990203,"Information Technology",3605916,"USD"
"YUM","Yum! Brands Inc.","98849810","2098876",0.0011489346022218385,"Consumer Discretionary",3186502,"USD"
"PRU","Prudential Financial Inc.","74432010","2819118",0.0011480141579141667,"Financials",4163025,"USD"
"ALL","Allstate Corporation","02000210","2019952",0.0011432118397871837,"Financials",3027987,"USD"
"DOW","Dow Inc.","26055710","BHXCF84",0.0011431318011517339,"Materials",8045247,"USD"
"TEL","TE Connectivity Ltd.","H8498910","B62B7C3",0.0011323165805365908,"Information Technology",3582805,"USD"
"KMI","Kinder Morgan Inc Class P","49456B10","B3NQ4P8",0.0011257334027708515,"Energy",22210836,"USD"
"CHTR","Charter Communications Inc. Class A","16119P10","BZ6VT82",0.0011154284284567004,"Communication Services",1207536,"USD"
"ECL","Ecolab Inc.","27886510","2304227",0.0011152183270386447,"Materials",2762333,"USD"
"HAL","Halliburton Company","40621610","2405302",0.001112717119680841,"Energy",10208224,"USD"
"NUE","Nucor Corporation","67034610","2651086",0.001111686622249426,"Materials",2933263,"USD"
"CARR","Carrier Global Corp.","14448C10","BK4N0D7",0.0010958689869186755,"Industrials",9429386,"USD"
"PCAR","PACCAR Inc","69371810","2665861",0.0010886555048987697,"Industrials",3909593,"USD"
"COF","Capital One Financial Corp","14040H10","2654461",0.0010831628535410327,"Financials",4300059,"USD"
"HSY","Hershey Company","42786610","2422806",0.0010765796757752934,"Consumer Staples",1645362,"USD"
"DD","DuPont de Nemours Inc.","26614N10","BK0VN47",0.0010713571548121993,"Materials",5611776,"USD"
"HLT","Hilton Worldwide Holdings Inc","43300A20","BYVMW06",0.0010712771161767497,"Consumer Discretionary",3069435,"USD"
"CMI","Cummins Inc.","23102110","2240202",0.001069246135802213,"Industrials",1578182,"USD"
"ED","Consolidated Edison Inc.","20911510","2216850",0.001069106068190176,"Utilities",3989309,"USD"
"IDXX","IDEXX Laboratories Inc.","45168D10","2459202",0.001048045902237469,"Health Care",932753,"USD"
"AMP","Ameriprise Financial Inc.","03076C10","B0J7D57",0.0010372506912811883,"Financials",1211705,"USD"
"BK","Bank of New York Mellon Corp","06405810","B1Z77F6",0.001025064809033969,"Financials",8239599,"USD"
