"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"AAPL","Apple Inc.","03783310","2046251",0.0724194049574073,"Information Technology",160932160,"USD"
"MSFT","Microsoft Corporation","59491810","2588173",0.06563534734076924,"Information Technology",80547170,"USD"
"AMZN","Amazon.com Inc.","02313510","2000019",0.02697802180984902,"Consumer Discretionary",96467720,"USD"
"NVDA","NVIDIA Corporation","67066G10","2379504",0.01958927644380628,"Information Technology",26618870,"USD"
"GOOGL","Alphabet Inc. Class A","02079K30","BYVY8G0",0.01834648277960237,"Communication Services",64448030,"USD"
"BRK-B","Berkshire Hathaway Inc. Class B","08467070","2073390",0.01698730067704743,"Financials",19495816,"USD"
"GOOG","Alphabet Inc. Class C","02079K10","BYY88Y7",0.016124719914063803,"Communication Services",56182764,"USD"
"META","Meta Platforms Inc. Class A","30303M10","B7TL820",0.01534991059715531,"Communication Services",24084324,"USD"
"XOM","Exxon Mobil Corporation","30231G10","2326618",0.013984757035534062,"Energy",44559664,"USD"
"UNH","UnitedHealth Group Incorporated","91324P10","2917766",0.013194333903545992,"Health Care",10110242,"USD"
"TSLA","Tesla Inc.","88160R10","B616C79",0.012681468590035291,"Consumer Discretionary",29102076,"USD"
"JNJ","Johnson & Johnson","47816010","2475833",0.012282060998784443,"Health Care",28290524,"USD"
"JPM","JPMorgan Chase & Co.","46625H10","2190385",0.01163622319477541,"Financials",31739272,"USD"
"V","Visa Inc. Class A","92826C83","B2PZN04",0.010852531707597434,"Financials",17583176,"USD"
"PG","Procter & Gamble Company","74271810","2704407",0.01058696681947267,"Consumer Staples",25527528,"USD"
"MA","Mastercard Incorporated Class A","57636Q10","B121557",0.009201338254989224,"Financials",9129601,"USD"
"LLY","Eli Lilly and Company","53245710","2516152",0.008959039051601867,"Health Care",8533718,"USD"
"HD","Home Depot Inc.","43707610","2434209",0.008790057762713742,"Consumer Discretionary",11028280,"USD"
"CVX","Chevron Corporation","16676410","2838555",0.008606102815161857,"Energy",19249484,"USD"
"MRK","Merck & Co. Inc.","58933Y10","2778844",0.008401382793871854,"Health Care",27434688,"USD"
"ABBV","AbbVie Inc.","00287Y10","B92SR70",0.007669333925051247,"Health Care",19136140,"USD"
"PEP","PepsiCo Inc.","71344810","2681511",0.007544533431298603,"Consumer Staples",14902795,"USD"
"AVGO","Broadcom Inc.","11135F10","BDZ78H9",0.007513085747371513,"Information Technology",4521848,"USD"
