"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"AAPL","APPLE INC","037833100","2046251",0.07048828462170027,"-",186141612,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.064069833728534,"-",91555684,"USD"
"NVDA","NVIDIA CORP","67066G104","2379504",0.05911536636553557,"-",302070854,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.04322239035933745,"-",115241879,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.028730904883480422,"-",26845166,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.022244197315060606,"-",71952860,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.021170428571747668,"-",34391133,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.018776169878529644,"-",57514952,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.018282358510343984,"-",58606736,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.016756948958326353,"-",22571460,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.014621477297420969,"-",34669030,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.01234279126544306,"-",9702691,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.011307942288896313,"-",21280293,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.009647495206377074,"-",11332603,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.009304855671185388,"-",54122559,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.008763887865121858,"-",10093939,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.008321510818478607,"-",5456249,"USD"
"WMT","WALMART INC","931142103","2936921",0.008245037415626972,"-",53452248,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.008145499339311283,"-",5263690,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.008000160984041679,"-",12231662,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.007626738635627539,"-",29000638,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.007089719645254353,"-",29648255,"USD"
"CRM","SALESFORCE INC","79466L302","2310525",0.006593086269896048,"-",11772364,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.006079820004205688,"-",82202959,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.00603369065727758,"-",21760992,"USD"
"WFC","WELLS FARGO + CO","949746101","2649100",0.005083462008883001,"-",41000356,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.005073091381817451,"-",19791647,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005069272198965426,"-",20580844,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.004843471738126669,"-",31150833,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.004745658775736307,"-",47742752,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.004624412184880519,"-",49085507,"USD"
"NOW","SERVICENOW INC","81762P102","B80NXX8",0.00458957086664299,"-",2536674,"USD"
"ACN","ACCENTURE PLC CL A","G1151C101","B4BNMY3",0.004558189748012908,"-",7695050,"USD"
"ABT","ABBOTT LABORATORIES","002824100","2002305",0.004320453094291975,"-",21358619,"USD"
"TMO","THERMO FISHER SCIENTIFIC INC","883556102","2886907",0.004234346974377531,"-",4710217,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.004198179412486427,"-",13328098,"USD"
"IBM","INTL BUSINESS MACHINES CORP","459200101","2005973",0.00411852501921757,"-",11386408,"USD"
"LIN","LINDE PLC","G54950103","BNZHB81",0.004066023719698225,"-",5863497,"USD"
"MCD","MCDONALD S CORP","580135101","2550707",0.004050427892072724,"-",8825029,"USD"
"PEP","PEPSICO INC","713448108","2681511",0.004019236236821725,"-",16895093,"USD"
"DIS","WALT DISNEY CO/THE","254687106","2270726",0.003993409386725789,"-",22300441,"USD"
"ISRG","INTUITIVE SURGICAL INC","46120E602","2871301",0.003973794941112389,"-",4385804,"USD"
"PM","PHILIP MORRIS INTERNATIONAL","718172109","B2PKRQ3",0.003925501722960026,"-",19147031,"USD"
"GS","GOLDMAN SACHS GROUP INC","38141G104","2407966",0.0038981093070474637,"-",3865745,"USD"
"ADBE","ADOBE INC","00724F101","2008154",0.003787881507448823,"-",5420838,"USD"
"QCOM","QUALCOMM INC","747525103","2714923",0.0037165136440756117,"-",13681007,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.003710131719727581,"-",19984105,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.003698714058198683,"-",5945414,"USD"
"-","US DOLLAR","999USDZ92","-",0.0036964404976496967,"-",2336478307.82,"USD"
"AXP","AMERICAN EXPRESS CO","025816109","2026082",0.0034178694998581614,"-",6852966,"USD"
"T","AT+T INC","00206R102","2831811",0.003387076714878914,"-",88358724,"USD"
"MS","MORGAN STANLEY","617446448","2262314",0.0033522952271821476,"-",15276118,"USD"
"VZ","VERIZON COMMUNICATIONS INC","92343V104","2090571",0.003303433618892538,"-",51838720,"USD"
"RTX","RTX CORP","75513E101","BM5M5Y3",0.003244719914890657,"-",16390573,"USD"
"INTU","INTUIT INC","461202103","2459020",0.003238168470677132,"-",3451677,"USD"
"TXN","TEXAS INSTRUMENTS INC","882508104","2885409",0.0032038157685224983,"-",11233674,"USD"
"SPGI","S+P GLOBAL INC","78409V104","BYV2325",0.003199358393235671,"-",3909895,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.003185208470345272,"-",25242445,"USD"
"BKNG","BOOKING HOLDINGS INC","09857L108","BDRXDB4",0.003043320342926323,"-",407392,"USD"
"BLK","BLACKROCK INC","09290D101","BMZBBT7",0.00298578330622611,"-",1792954,"USD"
"C","CITIGROUP INC","172967424","2297907",0.002970835642792207,"-",23289472,"USD"
"AMGN","AMGEN INC","031162100","2023607",0.0029497852642005,"-",6619298,"USD"
"BSX","BOSTON SCIENTIFIC CORP","101137107","2113434",0.002949117156495315,"-",18149227,"USD"
"UNP","UNION PACIFIC CORP","907818108","2914734",0.0029475017318947197,"-",7465781,"USD"
"PFE","PFIZER INC","717081103","2684703",0.002938955936322435,"-",69785080,"USD"
"LOW","LOWE S COS INC","548661107","2536763",0.0028926770130424198,"-",6985939,"USD"
"NEE","NEXTERA ENERGY INC","65339F101","2328915",0.002840095939468724,"-",25323598,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.002815196462754611,"-",10152055,"USD"
"PGR","PROGRESSIVE CORP","743315103","2705024",0.0028122049357164718,"-",7214144,"USD"
"DHR","DANAHER CORP","235851102","2250870",0.0028018841674348908,"-",7915964,"USD"
"HON","HONEYWELL INTERNATIONAL INC","438516106","2020459",0.0028002288558071206,"-",8007217,"USD"
"CMCSA","COMCAST CORP CLASS A","20030N101","2044545",0.0027782511038335904,"-",47004861,"USD"
"UBER","UBER TECHNOLOGIES INC","90353T100","BK6N347",0.0027359509115143,"-",25908085,"USD"
"TJX","TJX COMPANIES INC","872540109","2989301",0.002729269834462455,"-",13888901,"USD"
"SYK","STRYKER CORP","863667101","2853688",0.002613986354169359,"-",4225005,"USD"
"BX","BLACKSTONE INC","09260D107","BKF2SL7",0.0026075844863077406,"-",8891068,"USD"
"COP","CONOCOPHILLIPS","20825C104","2685717",0.0025594308727504914,"-",15929355,"USD"
"BA","BOEING CO/THE","097023105","2108601",0.002529256336692459,"-",9206007,"USD"
"ETN","EATON CORP PLC","G29183103","B8KQN82",0.002445194426920744,"-",4866432,"USD"
"SBUX","STARBUCKS CORP","855244109","2842255",0.002397758779852648,"-",13958350,"USD"
"SCHW","SCHWAB (CHARLES) CORP","808513105","2779397",0.0023905791149611134,"-",18414070,"USD"
"ADP","AUTOMATIC DATA PROCESSING","053015103","2065308",0.0023860020785927603,"-",5017691,"USD"
"DE","DEERE + CO","244199105","2261203",0.0023703962792104667,"-",3133471,"USD"
"PANW","PALO ALTO NETWORKS INC","697435105","B87ZMX0",0.0023642835922958686,"-",8059737,"USD"
"FI","FISERV INC","337738108","2342034",0.00235543864401977,"-",7006013,"USD"
"BMY","BRISTOL MYERS SQUIBB CO","110122108","2126335",0.0023332315416399823,"-",24975643,"USD"
"GILD","GILEAD SCIENCES INC","375558103","2369174",0.0023207867891613227,"-",15346195,"USD"
"MDT","MEDTRONIC PLC","G5960L103","BTN1Y11",0.0022838613737538893,"-",15792593,"USD"
