"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"NVDA","NVIDIA CORP","67066G104","2379504",0.07815948999283336,"-",289213915,"USD"
"AAPL","APPLE INC","037833100","2046251",0.06586120396036166,"-",174731313,"USD"
"MSFT","MICROSOFT CORP","594918104","2588173",0.04977222221788838,"-",88377097,"USD"
"AMZN","AMAZON.COM INC","023135106","2000019",0.043066153718354205,"-",116263007,"USD"
"GOOGL","ALPHABET INC CL A","02079K305","BYVY8G0",0.03615740138725511,"-",69289784,"USD"
"AVGO","BROADCOM INC","11135F101","BDZ78H9",0.031999972556773226,"-",56427238,"USD"
"GOOG","ALPHABET INC CL C","02079K107","BYY88Y7",0.028776913589499853,"-",55670678,"USD"
"META","META PLATFORMS INC CLASS A","30303M102","B7TL820",0.021639234341173836,"-",26036007,"USD"
"TSLA","TESLA INC","88160R101","B616C79",0.017892903847634405,"-",33479922,"USD"
"BRK-B","BERKSHIRE HATHAWAY INC CL B","084670702","2073390",0.013925757390553982,"-",21829549,"USD"
"JPM","JPMORGAN CHASE + CO","46625H100","2190385",0.013445190885544321,"-",32096984,"USD"
"LLY","ELI LILLY + CO","532457108","2516152",0.012432741841785758,"-",9433596,"USD"
"MU","MICRON TECHNOLOGY INC","595112103","2588184",0.010513546182760168,"-",13394972,"USD"
"XOM","EXXON MOBIL CORP","30231G102","2326618",0.010410804102346355,"-",49749995,"USD"
"WMT","WALMART INC","931142103","2936921",0.0092610689164832,"-",52188021,"USD"
"AMD","ADVANCED MICRO DEVICES","007903107","2007849",0.009028041517121584,"-",19413613,"USD"
"V","VISA INC CLASS A SHARES","92826C839","B2PZN04",0.008907087295324185,"-",20014338,"USD"
"JNJ","JOHNSON + JOHNSON","478160104","2475833",0.008758199789131206,"-",28690179,"USD"
"COST","COSTCO WHOLESALE CORP","22160K105","2701271",0.00728862699676228,"-",5285429,"USD"
"INTC","INTEL CORP","458140100","2463247",0.007287366848594058,"-",55879151,"USD"
"MA","MASTERCARD INC   A","57636Q104","B121557",0.006663903541778442,"-",9696505,"USD"
"CAT","CATERPILLAR INC","149123101","2180201",0.00659900591111503,"-",5540308,"USD"
"NFLX","NETFLIX INC","64110L106","2857817",0.006229992522520798,"-",50269515,"USD"
"ABBV","ABBVIE INC","00287Y109","B92SR70",0.005964181268433543,"-",21043015,"USD"
"CSCO","CISCO SYSTEMS INC","17275R102","2198163",0.005932737571283631,"-",47038979,"USD"
"CVX","CHEVRON CORP","166764100","2838555",0.005843087030173008,"-",22318365,"USD"
"BAC","BANK OF AMERICA CORP","060505104","2295677",0.005614400141168599,"-",79007807,"USD"
"UNH","UNITEDHEALTH GROUP INC","91324P102","2917766",0.005439799611638336,"-",10775969,"USD"
"PLTR","PALANTIR TECHNOLOGIES INC A","69608A108","BN78DQ4",0.005403825381788391,"-",27177768,"USD"
"PG","PROCTER + GAMBLE CO/THE","742718109","2704407",0.005399314851440232,"-",27649250,"USD"
"LRCX","LAM RESEARCH CORP","512807306","BSML4N7",0.005230304979259462,"-",14856043,"USD"
"HD","HOME DEPOT INC","437076102","2434209",0.0050381623871334795,"-",11843712,"USD"
"AMAT","APPLIED MATERIALS INC","038222105","2046552",0.005032051668635198,"-",9442804,"USD"
"ORCL","ORACLE CORP","68389X105","2661568",0.004953982489261087,"-",20180718,"USD"
"KO","COCA COLA CO/THE","191216100","2206657",0.004903376539013457,"-",46057270,"USD"
"GE","GENERAL ELECTRIC","369604301","BL59CR9",0.00476585036868635,"-",12477580,"USD"
"GEV","GE VERNOVA INC","36828A101","BP6H4Y1",0.004688601285739178,"-",3206372,"USD"
"MRK","MERCK + CO. INC.","58933Y105","2778844",0.004551615178912736,"-",29554158,"USD"
